# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:47:10+0200
# parameter filename: "TOV_90moreprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90moreprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.47.05-43283
# Run ID: run-TOV_90moreprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.47.05-43283
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
14848 10.875 1096.23163943704 1107.27269849433 40.352844953537 35.7132549285889 34.8074295520782 0 5.54789638519287 87 193021.218978328 193021.218978328 6893416 6893416 127481.183361852 127481.183361852 4552768 4552768 309.084148961884 711831.614807724 10365.6797261535 701465.935081571 1718 3947617 57697 3889920 0 0 0 0 40.0475025177002 1688996866.28672 18797
15360 11.25 1105.96631953993 1107.01273458186 41.2591500282288 36.6195600032806 35.7009170055389 0 5.56071996688843 90 194735.272607348 194735.272607348 7131120 7131120 128613.232916454 128613.232916454 4709760 4709760 313.049127824791 710468.773777492 10620.4615313938 699848.312246098 1744 3949164 59244 3889920 0 0 0 0 40.9433214664459 1688996867.19303 19436
15872 11.625 1114.89542091156 1106.9805743905 42.1767430305481 37.5371530056 36.6050853729248 0 5.57398891448975 93 196307.482320268 196307.482320268 7368824 7368824 129651.601422035 129651.601422035 4866752 4866752 316.961326147473 709031.17936452 10869.1171858238 698162.062178696 1770 3950694 60774 3889920 0 0 0 0 41.8503606319427 1688996868.11062 20075
16384 12 1121.0483365579 1107.18363096825 43.1749489307404 38.5353589057922 37.5385501384735 0 5.69146776199341 96 197390.869476414 197390.869476414 7606528 7606528 130367.126261406 130367.126261406 5023744 5023744 328.578595705639 742379.159853084 11018.5603057768 731360.599547307 1916 4438464 62304 4376160 0 0 0 0 42.8054692745209 1688996869.10883 20714
16896 12.375 1088.16857389718 1105.57200837395 45.5799379348755 40.9403479099274 39.8781542778015 0 5.7041757106781 99 191601.498288633 191601.498288633 7844232 7844232 126543.526483901 126543.526483901 5180736 5180736 339.893639702657 778653.184164893 11145.9858567509 767507.198308142 1942 4439927 63767 4376160 0 0 0 0 45.23268699646 1688996871.51381 21353
17408 12.75 1097.29084879117 1105.22874170862 46.4698851108551 41.830295085907 40.755298614502 0 5.716961145401 102 193207.721423005 193207.721423005 8081936 8081936 127604.359209943 127604.359209943 5337728 5337728 343.681909662818 777180.291668393 11392.6003292709 765787.691339122 1968 4441476 65316 4376160 0 0 0 0 46.1121234893799 1688996872.40376 21992
17920 13.125 1106.19448067848 1105.08640515652 47.3535981178284 42.7140080928802 41.6262562274933 0 5.72970986366272 105 194775.44654459 194775.44654459 8319640 8319640 128639.76585976 128639.76585976 5494720 5494720 347.456121548835 775715.346677177 11633.145231374 764082.201445804 1994 4443003 66843 4376160 0 0 0 0 46.985417842865 1688996873.28748 22631
18432 13.5 1112.36278448751 1105.10290404972 48.330372095108 43.6907820701599 42.5383121967316 0 5.84534358978271 108 195861.543202829 195861.543202829 8557344 8557344 129357.080194269 129357.080194269 5651712 5651712 358.421707721274 807424.315710354 11769.560604701 795654.755105653 2140 4930775 68375 4862400 0 0 0 0 47.9516398906708 1688996874.26425 23270
18944 13.875 1096.44927469372 1104.40294796925 50.1957330703735 45.5561430454254 44.3397393226624 0 5.85836386680603 111 193059.539549478 193059.539549478 8795048 8795048 127506.492246457 127506.492246457 5808704 5808704 369.194383249644 842224.772170855 11896.0167994079 830328.755371447 2166 4932275 69875 4862400 0 0 0 0 49.8067190647125 1688996876.12961 23909
19456 14.25 1104.07162203499 1104.25548777455 51.1039669513702 46.4643769264221 45.2353098392487 0 5.87233018875122 114 194401.659884596 194401.659884596 9032752 9032752 128392.897841864 128392.897841864 5965696 5965696 372.828052175809 840670.856337771 12133.7809722976 828537.075365473 2192 4933816 71416 4862400 0 0 0 0 50.7046332359314 1688996877.03784 24548
19968 14.625 1111.36059096998 1104.26284926565 52.0139529705048 47.3743629455566 46.1310241222382 0 5.8853554725647 117 195685.079937724 195685.079937724 9270456 9270456 129240.534738932 129240.534738932 6122688 6122688 376.343154422538 838889.629177502 12362.5496544003 826527.079523102 2218 4935341 72941 4862400 0 0 0 0 51.603926897049 1688996877.94783 25187
20480 15 1116.96019160636 1104.41704595132 52.985090970993 48.3455009460449 47.0357568264008 0 6.00341033935547 120 196671.04102637 196671.04102637 9508160 9508160 129891.714370864 129891.714370864 6279680 6279680 386.597885427332 868836.221730531 12484.92658082 856351.295149711 2364 5423114 74474 5348640 0 0 0 0 52.5639252662659 1688996878.91897 25826
20992 15.375 1103.63182507989 1104.10837740287 54.7921850681305 50.1525950431824 48.7780685424805 0 6.01644563674927 123 194324.221739845 194324.221739845 9745864 9745864 128341.753691068 128341.753691068 6436672 6436672 396.733250814776 901937.130227738 12589.5465571839 889347.583670555 2390 5424568 75928 5348640 0 0 0 0 54.3606033325195 1688996880.72606 26465
21504 15.75 1108.62811700539 1104.08999523628 55.7838819026947 51.1442918777466 49.7571430206299 0 6.02920866012573 126 195203.954018258 195203.954018258 9983568 9983568 128922.774329563 128922.774329563 6593664 6593664 400.216443287091 900305.141167993 12820.2003624104 887484.940805583 2416 5426114 77474 5348640 0 0 0 0 55.3415904045105 1688996881.71776 27104
22016 16.125 1114.3333891783 1104.15831899599 56.7335150241852 52.0939249992371 50.690452337265 0 6.04542970657349 129 196208.521437955 196208.521437955 10221272 10221272 129586.242543615 129586.242543615 6750656 6750656 403.437813954321 898124.888187462 13037.2634013089 885087.624786153 2442 5427637 78997 5348640 0 0 0 0 56.2804400920868 1688996882.66739 27743
22528 16.5 1119.53159691995 1104.34013826196 57.6974940299988 53.0579040050507 51.5906186103821 0 6.16009283065796 132 197123.806455008 197123.806455008 10458976 10458976 130190.744047154 130190.744047154 6907648 6907648 413.304648706657 927035.777054599 13154.353819296 913881.423235303 2588 5915416 80536 5834880 0 0 0 0 57.2335872650146 1688996883.63137 28382
23040 16.875 1107.64337097525 1104.2167005891 59.4857630729675 54.8461730480194 53.3151462078094 0 6.17289996147156 135 195030.562855037 195030.562855037 10696680 10696680 128808.257848997 128808.257848997 7064640 7064640 422.972298723839 958852.10981227 13261.0728859283 945591.036926341 2614 5916921 82041 5834880 0 0 0 0 59.0116419792175 1688996885.41964 29021
23552 17.25 1113.16731379692 1104.26438874942 60.4263520240784 55.7867619991302 54.2431530952454 0 6.18562602996826 138 196003.20233984 196003.20233984 10934384 10934384 129450.639205634 129450.639205634 7221632 7221632 426.316544290369 957151.317322567 13484.4440490509 943666.873273516 2640 5918466 83586 5834880 0 0 0 0 59.941211938858 1688996886.36023 29660
24064 17.625 1119.06790858227 1104.412511317 61.3385620117188 56.6989719867706 55.1420276165009 0 6.19896936416626 141 197042.1615864 197042.1615864 11172088 11172088 130136.821558628 130136.821558628 7378624 7378624 429.594968770668 955337.229237124 13701.2069303643 941636.022306759 2666 5919994 85114 5834880 0 0 0 0 60.842916727066 1688996887.27244 30299
24576 18 1124.28606096105 1104.66391305934 62.2761669158936 57.6365768909454 56.012864112854 0 6.31801509857178 144 197960.958396064 197960.958396064 11409792 11409792 130743.642431406 130743.642431406 7535616 7535616 438.746151418132 982491.697034617 13801.5042092568 968690.19282536 2812 6407761 86641 6321120 0 0 0 0 61.762852191925 1688996888.21004 30938
25088 18.375 1112.76632497549 1104.70923141147 64.0860331058502 59.4464430809021 57.757707118988 0 6.33064651489258 147 195932.597416277 195932.597416277 11647496 11647496 129404.008067075 129404.008067075 7692608 7692608 447.82775190208 1012748.71321504 13887.4008991399 998861.312315904 2838 6409217 88097 6321120 0 0 0 0 63.569522857666 1688996890.01991 31577
25600 18.75 1117.92409866269 1104.82427675536 65.0193600654602 60.3797700405121 58.6784031391144 0 6.34331679344177 150 196840.762924827 196840.762924827 11885200 11885200 130003.807479447 130003.807479447 7849600 7849600 451.036023934666 1010975.79978268 14104.1803372632 996871.619445418 2864 6410764 89644 6321120 0 0 0 0 64.4925730228424 1688996890.95324 32216
26112 19.125 1123.33302562486 1105.01666313816 65.930408000946 61.2908179759979 59.5768220424652 0 6.35688805580139 153 197793.150757874 197793.150757874 12122904 12122904 130632.813599183 130632.813599183 8006592 8006592 454.231676231237 1009206.46102869 14316.3247643774 994890.136264309 2890 6412293 91173 6321120 0 0 0 0 65.3930349349976 1688996891.86428 32855
26624 19.5 1127.85696626226 1105.29614991583 66.8815250396729 62.2419350147247 60.4611413478851 0 6.47558975219727 156 198589.71282104 198589.71282104 12360608 12360608 131158.90433144 131158.90433144 8163584 8163584 462.900683615135 1035132.68350314 14408.6404241428 1020724.04307899 3036 6900074 92714 6807360 0 0 0 0 66.3327112197876 1688996892.8154 33494
27136 19.875 1115.92135052049 1105.42447593031 68.7570118904114 64.1174218654633 62.270521402359 0 6.48884963989258 159 196488.124966017 196488.124966017 12598312 12598312 129770.907156232 129770.907156232 8320576 8320576 471.441375830676 1063959.31863491 14491.9660597891 1049467.35257512 3062 6901576 94216 6807360 0 0 0 0 68.1977999210358 1688996894.69089 34133
27648 20.25 1119.29826187503 1105.56065167462 69.7696831226349 65.1300930976868 63.2695002555847 0 6.50253772735596 162 197082.721511662 197082.721511662 12836016 12836016 130163.60942836 130163.60942836 8477568 8477568 474.448190624449 1061956.73893904 14700.0479762445 1047256.69096279 3088 6903122 95762 6807360 0 0 0 0 69.1998910903931 1688996895.70356 34772
