# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on May 15 2023 at 09:48:48+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
# Run ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
12288 12 1652.11626083409 1574.51304167454 32.7513737678528 26.1482808589935 27.4359414577484 0 5.36959266662598 72 219665.378040501 219665.378040501 5743872 5743872 107850.149507249 107850.149507249 2820096 2820096 264.136559002184 701534.848428308 9090.69990565851 692444.148522649 1468 4161162 48522 4112640 0 0 0 0 32.496976852417 1684136954.25371 15602
12800 12.5 1613.12246893144 1575.64034510708 34.4993009567261 27.8962080478668 29.1187350749969 0 5.3830873966217 75 214480.763469124 214480.763469124 5983200 5983200 105304.634771844 105304.634771844 2937600 2937600 276.922545463037 773599.300053984 9248.46960223601 764350.830451748 1494 4162610 49970 4112640 0 0 0 0 34.2344300746918 1684136956.00164 16241
13312 13 1629.69998277674 1576.69671067727 35.3200349807739 28.7169420719147 29.9259693622589 0 5.3965106010437 78 216684.909709995 216684.909709995 6222528 6222528 106386.814875666 106386.814875666 3055104 3055104 281.049602881426 771939.441320018 9501.5529332974 762437.888386721 1520 4164092 51452 4112640 0 0 0 0 35.0448670387268 1684136956.82237 16880
13824 13.5 1643.93187250465 1578.19587998146 36.1663618087769 29.5632688999176 30.7590203285217 0 5.40978646278381 81 218577.181768218 218577.181768218 6461856 6461856 107315.872637103 107315.872637103 3172608 3172608 285.167860330368 770310.145051811 9744.15989676206 760565.985155049 1546 4165538 52898 4112640 0 0 0 0 35.8793642520905 1684136957.6687 17519
14336 14 1654.89899305967 1580.05702267536 37.0581238269806 30.4550309181213 31.5851447582245 0 5.53000617027283 84 220035.370117213 220035.370117213 6701184 6701184 108031.806266935 108031.806266935 3290112 3290112 297.461397083328 789760.374687927 9899.90996116023 779860.464726766 1692 4754542 54382 4700160 0 0 0 0 36.75723695755 1684136958.56046 18158
14848 14.5 1619.06039913501 1581.27099523442 38.8440148830414 32.2409219741821 33.3033277988434 0 5.54326987266541 87 215270.270668991 215270.270668991 6940512 6940512 105692.262855533 105692.262855533 3407616 3407616 309.347915511835 858337.229251485 10038.1052304185 848299.124021067 1718 4755987 55827 4700160 0 0 0 0 38.5343632698059 1684136960.34635 18797
15360 15 1632.64136071439 1582.2192624504 39.6783299446106 33.0752370357513 34.1232306957245 0 5.55765318870544 90 217075.995320585 217075.995320585 7179840 7179840 106578.828027435 106578.828027435 3525120 3525120 313.225726857877 856378.758841062 10280.4643880037 846098.294453058 1744 4757470 57310 4700160 0 0 0 0 39.357969045639 1684136961.18066 19436
15872 15.5 1642.69954019367 1583.42013665577 40.5715689659119 33.9684760570526 35.0020265579224 0 5.57211256027222 93 218413.33086415 218413.33086415 7419168 7419168 107235.425983843 107235.425983843 3642624 3642624 317.081704498142 854416.332870298 10512.17419873 843904.158671568 1770 4758916 58756 4700160 0 0 0 0 40.2407169342041 1684136962.0739 20075
16384 16 1650.4803079014 1584.94586164755 41.5020248889923 34.8989319801331 35.8665034770966 0 5.69674015045166 96 219447.86173857 219447.86173857 7658496 7658496 107743.354499803 107743.354499803 3760128 3760128 328.629751293412 872271.90542186 10651.5432402212 861620.362181639 1916 5347907 60227 5287680 0 0 0 0 41.1362340450287 1684136963.00436 20714
16896 16.5 1606.29721053652 1585.29516723493 43.5825507640839 36.9794578552246 37.8749928474426 0 5.71002197265625 99 213573.277112935 213573.277112935 7897824 7897824 104859.081903824 104859.081903824 3877632 3877632 339.549773879556 937202.403921964 10767.6524526914 926434.751469272 1942 5349346 61666 5287680 0 0 0 0 43.2307093143463 1684136965.08488 21353
17408 17 1617.22780911481 1585.73872091419 44.4456279277802 37.8425350189209 38.7251493930817 0 5.72375869750977 102 215026.609499905 215026.609499905 8137152 8137152 105572.631379015 105572.631379015 3995136 3995136 343.32792057291 935346.574162439 11004.3241344525 924342.250027987 1968 5350828 63148 5287680 0 0 0 0 44.0834414958954 1684136965.94796 21992
17920 17.5 1628.11025836969 1586.42842989361 45.2982609272003 38.6951680183411 39.561717748642 0 5.73898839950562 105 216473.539952835 216473.539952835 8376480 8376480 106283.037666374 106283.037666374 4112640 4112640 346.89880962425 932977.898607054 11224.1811829579 921753.717424096 1994 5352277 64597 5287680 0 0 0 0 44.925420999527 1684136966.8006 22631
18432 18 1635.73726293511 1587.35765059961 46.2182569503784 39.6151640415192 40.4155690670013 0 5.85989832878113 108 217487.626479852 217487.626479852 8615808 8615808 106780.928524404 106780.928524404 4230144 4230144 357.765235994702 949401.05529057 11353.0145553271 938048.040735243 2140 5941279 66079 5875200 0 0 0 0 45.8341610431671 1684136967.72059 23270
