# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:26:43+0200
# parameter filename: "TOV_90_controlres.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
# Run ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
5120 5 1719.21825644117 1647.72393712138 15.2008008956909 10.4698748588562 10.3552005290985 0 4.84879446029663 30 228587.259376418 228587.259376418 2393280 2393280 112230.56778048 112230.56778048 1175040 1175040 127.951121242796 369688.349115705 5943.94870005645 363744.400415648 624 1791555 28995 1762560 0 0 0 0 15.0941491127014 1688995613.88891 6656
5632 5.5 1753.9792680523 1652.25660276894 16.0195429325104 11.2886168956757 11.1571078300476 0 4.86497902870178 33 233209.083480234 233209.083480234 2632608 2632608 114499.766618454 114499.766618454 1292544 1292544 132.855243594471 368694.483776656 6209.44020100291 362485.043575653 650 1792953 30393 1762560 0 0 0 0 15.9022922515869 1688995614.70765 7295
6144 6 1764.24494194875 1658.38201151141 16.9741239547729 12.2431979179382 12.0449023246765 0 4.98724889755249 36 234574.007481506 234574.007481506 2871936 2871936 115169.909810414 115169.909810414 1410048 1410048 148.502147992416 395542.165946767 6417.848977787 389124.31696898 796 2381905 31825 2350080 0 0 0 0 16.8463385105133 1688995615.66223 7934
6656 6.5 1647.16466812666 1651.66973153774 18.9371559619904 14.2062299251556 13.9323437213898 0 5.00726437568665 39 219007.014274121 219007.014274121 3111264 3111264 107526.909535308 107526.909535308 1527552 1527552 163.442694885561 476162.318471716 6598.24952714653 469564.06894457 822 2383304 33224 2350080 0 0 0 0 18.7990534305573 1688995617.62526 8573
7168 7 1673.59115047569 1651.03887006995 19.7883670330048 15.05744099617 14.7705540657043 0 5.0202488899231 42 222520.679367247 222520.679367247 3350592 3350592 109252.030303053 109252.030303053 1645056 1645056 168.200769040236 475217.592911378 6870.12453924652 468347.468372131 848 2384745 34665 2350080 0 0 0 0 19.6398544311523 1688995618.47647 9212
7680 7.5 1700.25853953606 1651.98990008491 20.6108639240265 15.8799378871918 15.579931974411 0 5.03337216377258 45 226066.375416714 226066.375416714 3589920 3589920 110992.877460914 110992.877460914 1762560 1762560 172.930186437226 474254.278112897 7128.10277681075 467126.175336087 874 2386141 36061 2350080 0 0 0 0 20.4518494606018 1688995619.29897 9851
8192 8 1708.59314920315 1654.42689214578 21.5868990421295 16.8559730052948 16.4922299385071 0 5.15267324447632 48 227174.545118051 227174.545118051 3829248 3829248 111536.960779982 111536.960779982 1880064 1880064 187.647123013398 499130.159050356 7321.96718595063 491808.191864405 1020 2975095 37495 2937600 0 0 0 0 21.4172446727753 1688995620.27501 10490
8704 8.5 1638.00944214205 1650.07679597991 23.4121370315552 18.6812109947205 18.2488403320312 0 5.16583561897278 51 217789.735427207 217789.735427207 4068576 4068576 106929.256383033 106929.256383033 1997568 1997568 201.809049651568 576433.850929858 7495.01767031288 568938.833259545 1046 2976499 38899 2937600 0 0 0 0 23.2289218902588 1688995622.10024 11129
9216 9 1664.5928738022 1649.70338888301 24.1951448917389 19.4642188549042 19.0187742710114 0 5.18033766746521 54 221324.268500741 221324.268500741 4307904 4307904 108664.622801808 108664.622801808 2115072 2115072 206.322166292238 575257.302496141 7755.43386311037 567501.868633031 1072 2977934 40334 2937600 0 0 0 0 24.0046515464783 1688995622.88325 11768
9728 9.5 1686.10586494626 1650.18026333763 25.014349937439 20.2834239006042 19.8233318328857 0 5.19347405433655 57 224184.635803255 224184.635803255 4547232 4547232 110068.990863692 110068.990863692 2232576 2232576 210.748638892323 573901.677859089 8001.127941274 565900.549917815 1098 2979334 41734 2937600 0 0 0 0 24.8135876655579 1688995623.70246 12407
