# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.3413948253207e-05
512 0.125 2.81041244473504e-05
1024 0.25 3.49120693202288e-05
1536 0.375 4.08560709639114e-05
2048 0.5 4.57242698349073e-05
2560 0.625 4.93939466217488e-05
3072 0.75 5.17473277215604e-05
3584 0.875 5.28729441713449e-05
4096 1 5.31103505861334e-05
4608 1.125 5.29321246371724e-05
5120 1.25 5.27746601013037e-05
5632 1.375 5.29117817639523e-05
6144 1.5 5.34006942039244e-05
6656 1.625 5.41014032063433e-05
7168 1.75 5.47691342788012e-05
7680 1.875 5.51888272419975e-05
8192 2 5.52805703391964e-05
8704 2.125 5.51190168461026e-05
9216 2.25 5.4873578481833e-05
9728 2.375 5.47189182816975e-05
10240 2.5 5.47609077058035e-05
10752 2.625 5.49984825803574e-05
11264 2.75 5.53324291315565e-05
11776 2.875 5.56232010738146e-05
12288 3 5.5768440083142e-05
12800 3.125 5.5750513001668e-05
13312 3.25 5.56310821334454e-05
13824 3.375 5.55092563778254e-05
14336 3.5 5.54718840671501e-05
14848 3.625 5.55551313082809e-05
15360 3.75 5.57297535089562e-05
15872 3.875 5.59197825496396e-05
16384 4 5.60472425977871e-05
16896 4.125 5.60745298867147e-05
17408 4.25 5.60185243983082e-05
17920 4.375 5.59343821491511e-05
18432 4.5 5.58845646639829e-05
18944 4.625 5.59087221201437e-05
19456 4.75 5.60056550012291e-05
19968 4.875 5.61352158561445e-05
20480 5 5.62416251395556e-05
20992 5.125 5.62854748431067e-05
21504 5.25 5.62635014134868e-05
22016 5.375 5.6205565771559e-05
22528 5.5 5.61560242286288e-05
23040 5.625 5.61515862228839e-05
23552 5.75 5.62036220037046e-05
24064 5.875 5.62926991573634e-05
24576 6 5.63801111941865e-05
25088 6.125 5.64304271148068e-05
25600 6.25 5.64306000760985e-05
26112 6.375 5.63942054580086e-05
26624 6.5 5.63515678227723e-05
27136 6.625 5.63337111789086e-05
27648 6.75 5.63573725443202e-05
28160 6.875 5.64167243994051e-05
28672 7 5.64865062867075e-05
29184 7.125 5.65368721598679e-05
29696 7.25 5.65504404975497e-05
30208 7.375 5.65304129010244e-05
30720 7.5 5.64967779095306e-05
31232 7.625 5.64746959245693e-05
31744 7.75 5.64818987859593e-05
32256 7.875 5.65201655960889e-05
32768 8 5.65744848518477e-05
33280 8.125 5.66215310925224e-05
33792 8.25 5.66430685306205e-05
34304 8.375 5.66356255406659e-05
34816 8.5 5.66108405656573e-05
35328 8.625 5.65881370323897e-05
35840 8.75 5.65848442692143e-05
36352 8.875 5.66076920475134e-05
36864 9 5.66491492416121e-05
37376 9.125 5.66915468074132e-05
37888 9.25 5.67174632506653e-05
38400 9.375 5.67195774173025e-05
38912 9.5 5.67035072164317e-05
39424 9.625 5.66832425579497e-05
39936 9.75 5.66738159047053e-05
40448 9.875 5.66844556277347e-05
40960 10 5.67138830342026e-05
41472 10.125 5.6750522955925e-05
41984 10.25 5.67788878662235e-05
42496 10.375 5.67886400947328e-05
43008 10.5 5.67801795646877e-05
43520 10.625 5.67635145399396e-05
44032 10.75 5.67521746445323e-05
44544 10.875 5.67560465487091e-05
45056 11 5.67765332305774e-05
45568 11.125 5.68061111843872e-05
46080 11.25 5.68327144087162e-05
46592 11.375 5.68465139786774e-05
47104 11.5 5.68449264973847e-05
47616 11.625 5.68333666578026e-05
48128 11.75 5.68220866263967e-05
48640 11.875 5.68210028770021e-05
49152 12 5.68345555092218e-05
49664 12.125 5.68590941389683e-05
50176 12.25 5.68848676366019e-05
50688 12.375 5.69018164642542e-05
51200 12.5 5.6905359411491e-05
51712 12.625 5.68983915088589e-05
52224 12.75 5.6888886552141e-05
52736 12.875 5.68854476110365e-05
53248 13 5.68933016440329e-05
53760 13.125 5.69120391224422e-05
