# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000823190805860394
512 0.125 0.000833326182917801
1024 0.25 0.000843856337984672
1536 0.375 0.000854975790844467
2048 0.5 0.000866239175820238
2560 0.625 0.000876907937959498
3072 0.75 0.000886500431044407
3584 0.875 0.000895127617126887
4096 1 0.000903377204069092
4608 1.125 0.000911648081513075
5120 1.25 0.000919468805814269
5632 1.375 0.000926476734510628
6144 1.5 0.00093196157736504
6656 1.625 0.00093577563277808
7168 1.75 0.000938350031457078
7680 1.875 0.000940546374154819
8192 2 0.000943221101968136
8704 2.125 0.000946817750849691
9216 2.25 0.000951270443986643
9728 2.375 0.00095627122057329
10240 2.5 0.000961744232548412
10752 2.625 0.000967707355027728
11264 2.75 0.000974480695986907
11776 2.875 0.000982331716375087
12288 3 0.000991132820438459
12800 3.125 0.00100034684666937
13312 3.25 0.00100923432949751
13824 3.375 0.00101762376180772
14336 3.5 0.00102572377701762
14848 3.625 0.0010339215049726
15360 3.75 0.00104246023849033
15872 3.875 0.00105123712630061
16384 4 0.00105990163279861
16896 4.125 0.00106816677161357
17408 4.25 0.00107604563590091
17920 4.375 0.00108381666174227
18432 4.5 0.00109178169610816
18944 4.625 0.00110003264927372
19456 4.75 0.00110839418885679
19968 4.875 0.00111656989563277
20480 5 0.00112438566159206
20992 5.125 0.00113194467256858
21504 5.25 0.00113955479872321
22016 5.375 0.0011474754813427
22528 5.5 0.00115570191850033
23040 5.625 0.00116397545670464
23552 5.75 0.00117200480333039
24064 5.875 0.00117970704658235
24576 6 0.00118727581591971
25088 6.125 0.00119502991551126
25600 6.25 0.00120315921959394
26112 6.375 0.00121156962647401
26624 6.5 0.00121996001166153
27136 6.625 0.00122807130094769
27648 6.75 0.00123589652175186
28160 6.875 0.00124367724531997
28672 7 0.00125169964727012
29184 7.125 0.00126006329807957
29696 7.25 0.00126859947500414
30208 7.375 0.00127700061152329
30720 7.5 0.0012850634053732
31232 7.625 0.00129285533390562
31744 7.75 0.00130066755358475
32256 7.875 0.00130879019677964
32768 8 0.00131729311368879
33280 8.125 0.0013259766799001
33792 8.25 0.00133449799069103
34304 8.375 0.00134254698971761
34816 8.5 0.00134996998526443
