# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
34816 8.5 -3.14885067259781e-05 -3.1488506708424e-05 -3.1488506709785e-05
35328 8.625 -2.98235872758307e-05 -2.98235873050008e-05 -2.98235872991444e-05
35840 8.75 -2.98848885176518e-05 -2.98848887919736e-05 -2.98848888020487e-05
36352 8.875 -2.95741075119327e-05 -2.95741077241236e-05 -2.95741078192722e-05
36864 9 -2.88505254772496e-05 -2.88505254874342e-05 -2.88505254032987e-05
37376 9.125 -2.82745377698351e-05 -2.82745388383791e-05 -2.82745441501686e-05
37888 9.25 -2.79924887498171e-05 -2.79924872331975e-05 -2.79924927139867e-05
38400 9.375 -2.79451550215802e-05 -2.79451539782598e-05 -2.79451688871401e-05
38912 9.5 -2.79411407109836e-05 -2.79411424924093e-05 -2.79411465458158e-05
39424 9.625 -2.74647872244899e-05 -2.7464788362747e-05 -2.74647805817748e-05
39936 9.75 -2.73030527609164e-05 -2.73030521804139e-05 -2.7303043307849e-05
40448 9.875 -2.62026547021199e-05 -2.62026558730336e-05 -2.62026697603846e-05
40960 10 -2.78895010951095e-05 -2.78895043723528e-05 -2.78895098394407e-05
41472 10.125 -2.73359880487372e-05 -2.73359875167811e-05 -2.73359830508618e-05
41984 10.25 -2.61993762539333e-05 -2.61993744919938e-05 -2.61993786690111e-05
42496 10.375 -2.48757693340159e-05 -2.48757715452297e-05 -2.48757747750893e-05
43008 10.5 -2.61887416249718e-05 -2.61887424048197e-05 -2.61887257009117e-05
43520 10.625 -2.49431591795389e-05 -2.4943161109471e-05 -2.49431414697383e-05
44032 10.75 -2.42861961615682e-05 -2.42861983097998e-05 -2.42862167910117e-05
44544 10.875 -2.54598538496144e-05 -2.5459857772233e-05 -2.54598820759573e-05
45056 11 -2.40619051200402e-05 -2.40619090730854e-05 -2.40619131874786e-05
45568 11.125 -2.35578587994022e-05 -2.35578513109265e-05 -2.35578549719373e-05
46080 11.25 -2.26447104964322e-05 -2.26447056755795e-05 -2.26447128206958e-05
46592 11.375 -2.22909057574033e-05 -2.22909051613418e-05 -2.22909047467295e-05
47104 11.5 -2.14602161859377e-05 -2.14602133089267e-05 -2.14601970650052e-05
47616 11.625 -2.1065017572147e-05 -2.10650108121948e-05 -2.10650147922843e-05
48128 11.75 -2.07336670741798e-05 -2.073365605905e-05 -2.07336713605522e-05
48640 11.875 -2.09069735829577e-05 -2.09069856155958e-05 -2.09069892118939e-05
49152 12 -1.98776401660542e-05 -1.98776323847419e-05 -1.9877633541387e-05
49664 12.125 -2.07978377975283e-05 -2.07978513137017e-05 -2.07978291278103e-05
50176 12.25 -2.059237259997e-05 -2.05923893572242e-05 -2.05923510315191e-05
50688 12.375 -1.99083646108435e-05 -1.9908374963834e-05 -1.99083750441928e-05
51200 12.5 -1.91047737659357e-05 -1.91047713918212e-05 -1.91047650482267e-05
51712 12.625 -1.98527285590892e-05 -1.98527506627924e-05 -1.98527406941793e-05
52224 12.75 -1.96869529565963e-05 -1.96869578111868e-05 -1.96869781400995e-05
52736 12.875 -1.93803093042999e-05 -1.93802976365881e-05 -1.93803097973565e-05
53248 13 -1.94118062241753e-05 -1.94118013699729e-05 -1.94118124209837e-05
53760 13.125 -1.94476630282447e-05 -1.94476552111119e-05 -1.94476591033112e-05
54272 13.25 -1.90799485487014e-05 -1.90799531677417e-05 -1.90799392391172e-05
54784 13.375 -1.86152604537044e-05 -1.86152677791503e-05 -1.86152413040518e-05
55296 13.5 -1.85247266725875e-05 -1.85247575714768e-05 -1.85247565989946e-05
55808 13.625 -1.92556578543358e-05 -1.92556963995101e-05 -1.92556694505978e-05
56320 13.75 -1.87670659475528e-05 -1.87670391203349e-05 -1.87670511561409e-05
56832 13.875 -1.77263668393509e-05 -1.77263971282513e-05 -1.77263740865263e-05
57344 14 -1.89468045840406e-05 -1.89468458216656e-05 -1.89468404602562e-05
57856 14.125 -1.89184410666638e-05 -1.89185113466092e-05 -1.89185369000954e-05
58368 14.25 -1.70179303618744e-05 -1.70179249743788e-05 -1.70179194547537e-05
58880 14.375 -1.69919875465922e-05 -1.69920668398164e-05 -1.69920454247871e-05
59392 14.5 -1.9166445246117e-05 -1.91664705421787e-05 -1.91665272502256e-05
59904 14.625 -2.03867348861981e-05 -2.03867386933694e-05 -2.03867961894564e-05
60416 14.75 -2.03688401911914e-05 -2.03688198281981e-05 -2.0368865338856e-05
60928 14.875 -1.91748978796548e-05 -1.91748566741376e-05 -1.91748831544784e-05
61440 15 -1.75921701873119e-05 -1.75921576520426e-05 -1.75921589280378e-05
61952 15.125 -1.93232897675733e-05 -1.93233067129092e-05 -1.93233034451794e-05
62464 15.25 -1.99704573961956e-05 -1.99704800711687e-05 -1.99704786512826e-05
62976 15.375 -1.94093670835791e-05 -1.94093948923763e-05 -1.94093924483855e-05
63488 15.5 -1.79317998780693e-05 -1.79317838005211e-05 -1.79317827882112e-05
64000 15.625 -2.02521039125478e-05 -2.02520656686397e-05 -2.02520741038582e-05
64512 15.75 -2.17729943296181e-05 -2.1772977161149e-05 -2.17729425127673e-05
65024 15.875 -2.13661510636123e-05 -2.1366162446302e-05 -2.13661062467014e-05
65536 16 -2.13748821867314e-05 -2.13748334246738e-05 -2.13748339528984e-05
66048 16.125 -2.1521027024643e-05 -2.15209776492551e-05 -2.15209536036712e-05
66560 16.25 -2.03033381773406e-05 -2.03032664115684e-05 -2.0303249243802e-05
67072 16.375 -2.07922938880306e-05 -2.07923052528087e-05 -2.07922620596666e-05
67584 16.5 -2.01543689624018e-05 -2.01542677195731e-05 -2.01542303424035e-05
68096 16.625 -1.94164723377888e-05 -1.94164874709389e-05 -1.94164691443766e-05
68608 16.75 -1.9251901954772e-05 -1.92518965353367e-05 -1.92518946807092e-05
69120 16.875 -1.87441612683066e-05 -1.87441353747666e-05 -1.87442089728084e-05
69632 17 -1.90129956556218e-05 -1.90129640883321e-05 -1.90130074550026e-05
70144 17.125 -1.77791712286424e-05 -1.77791619349419e-05 -1.77791663562183e-05
70656 17.25 -1.78571337832701e-05 -1.78571760108001e-05 -1.78571713639773e-05
71168 17.375 -1.72008155805493e-05 -1.72008135518117e-05 -1.72007980871856e-05
71680 17.5 -1.73963058427786e-05 -1.73962824274113e-05 -1.73963350482031e-05
72192 17.625 -1.67179349989401e-05 -1.6717919682031e-05 -1.67179382593514e-05
72704 17.75 -1.67201787157326e-05 -1.67201682933303e-05 -1.67201501633242e-05
73216 17.875 -1.67170754261439e-05 -1.67170704446627e-05 -1.67170785781156e-05
73728 18 -1.66049552804382e-05 -1.66049523347241e-05 -1.66050068244505e-05
74240 18.125 -1.61032497239023e-05 -1.61032114193963e-05 -1.61032243960728e-05
74752 18.25 -1.58580766864887e-05 -1.5858071253754e-05 -1.58580729794305e-05
75264 18.375 -1.5548692862407e-05 -1.55486988783666e-05 -1.55486373560182e-05
75776 18.5 -1.57136431578901e-05 -1.57136802519459e-05 -1.57136707068948e-05
