# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.125 1.87103968264658e-07 1.8710396826512e-07 1.87103968265655e-07
1024 0.25 4.99174439012322e-07 4.99174439013169e-07 4.99174439013453e-07
1536 0.375 9.92367023516404e-07 9.92367023517255e-07 9.92367023518675e-07
2048 0.5 1.62258566836862e-06 1.62258566837144e-06 1.62258566837061e-06
2560 0.625 2.29290690937151e-06 2.29290690937442e-06 2.29290690937648e-06
3072 0.75 2.86418091093299e-06 2.86418091094054e-06 2.86418091094456e-06
3584 0.875 3.21417736383528e-06 3.21417736384081e-06 3.21417736384552e-06
4096 1 3.29619655483384e-06 3.29619655483667e-06 3.2961965548403e-06
4608 1.125 3.17934123058151e-06 3.17934123061626e-06 3.17934123060146e-06
5120 1.25 3.04062649003721e-06 3.04062649007062e-06 3.04062649002438e-06
5632 1.375 3.0458216556251e-06 3.04582165564064e-06 3.04582165560984e-06
6144 1.5 3.19036514900499e-06 3.19036514901979e-06 3.19036514902628e-06
6656 1.625 3.33757888460024e-06 3.33757888457669e-06 3.33757888462266e-06
7168 1.75 3.39328120831565e-06 3.39328120833912e-06 3.393281208386e-06
7680 1.875 3.37637174807886e-06 3.37637174813281e-06 3.37637174812231e-06
8192 2 3.36648762941555e-06 3.36648762946571e-06 3.36648762945907e-06
8704 2.125 3.41126267911035e-06 3.41126267917237e-06 3.4112626791674e-06
9216 2.25 3.48792297453021e-06 3.48792297455702e-06 3.48792297458493e-06
9728 2.375 3.5492371043057e-06 3.54923710435036e-06 3.54923710429481e-06
10240 2.5 3.57638819284272e-06 3.57638819286672e-06 3.57638819274952e-06
10752 2.625 3.58426293757263e-06 3.58426293753307e-06 3.58426293753633e-06
11264 2.75 3.59537836014828e-06 3.59537836011878e-06 3.59537836017185e-06
11776 2.875 3.61843131743628e-06 3.61843131746809e-06 3.61843131752699e-06
12288 3 3.6477358591388e-06 3.64773585914951e-06 3.64773585916168e-06
12800 3.125 3.67437593929864e-06 3.67437593933202e-06 3.67437593930387e-06
13312 3.25 3.69384377977234e-06 3.69384377987471e-06 3.69384377987052e-06
13824 3.375 3.70698607414303e-06 3.70698607428675e-06 3.70698607428274e-06
14336 3.5 3.71768930933118e-06 3.71768930939692e-06 3.71768930946545e-06
14848 3.625 3.73047189035046e-06 3.7304718903412e-06 3.7304718903934e-06
15360 3.75 3.74845988254475e-06 3.74845988263705e-06 3.74845988270277e-06
15872 3.875 3.77142996881367e-06 3.77142996900603e-06 3.77142996893725e-06
16384 4 3.79531883289524e-06 3.79531883285871e-06 3.79531883263936e-06
