# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
20480 5 2.22115807634016e-05 2.22115807555883e-05 2.22115807651433e-05
20992 5.125 2.08641041307627e-05 2.08641041303221e-05 2.08641041266241e-05
21504 5.25 2.32177759795819e-05 2.32177759732016e-05 2.32177759694619e-05
22016 5.375 2.45795445560056e-05 2.45795445527899e-05 2.45795445521818e-05
22528 5.5 2.43499923780458e-05 2.43499923864453e-05 2.43499923870785e-05
23040 5.625 2.21575658679284e-05 2.21575658830128e-05 2.21575658820229e-05
23552 5.75 2.24238563798202e-05 2.24238563836894e-05 2.24238563953207e-05
24064 5.875 2.47364562701168e-05 2.47364562756665e-05 2.47364562873581e-05
24576 6 2.54112119439274e-05 2.54112119458222e-05 2.54112119486813e-05
25088 6.125 2.40393590151122e-05 2.4039359009373e-05 2.40393590045219e-05
25600 6.25 2.11897930266473e-05 2.11897930159103e-05 2.11897930141936e-05
26112 6.375 2.40782043150357e-05 2.40782042746862e-05 2.40782042690006e-05
26624 6.5 2.53937887424508e-05 2.53937886937955e-05 2.53937886804367e-05
27136 6.625 2.47568118774223e-05 2.47568118451876e-05 2.47568118286302e-05
27648 6.75 2.2173905006682e-05 2.21739050029699e-05 2.21739049910878e-05
28160 6.875 2.26712782516311e-05 2.2671278391902e-05 2.26712784128566e-05
28672 7 2.43219244854019e-05 2.43219246199631e-05 2.4321924649643e-05
29184 7.125 2.423796600731e-05 2.4237966106151e-05 2.42379661307836e-05
29696 7.25 2.24680203598941e-05 2.24680204065949e-05 2.24680204154718e-05
30208 7.375 2.10252015949153e-05 2.10252015787172e-05 2.10252013760208e-05
30720 7.5 2.30355950376425e-05 2.30355950438691e-05 2.30355947711288e-05
