# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
168960 41.25 1
169472 41.375 1
169984 41.5 1
170496 41.625 1
171008 41.75 1
171520 41.875 1
172032 42 1
172544 42.125 1
173056 42.25 1
173568 42.375 1
174080 42.5 1
174592 42.625 1
175104 42.75 1
175616 42.875 1
176128 43 1
176640 43.125 1
177152 43.25 1
177664 43.375 1
178176 43.5 1
178688 43.625 1
179200 43.75 1
179712 43.875 1
180224 44 1
180736 44.125 1
181248 44.25 1
181760 44.375 1
182272 44.5 1
182784 44.625 1
183296 44.75 1
183808 44.875 1
184320 45 1
184832 45.125 1
185344 45.25 1
185856 45.375 1
186368 45.5 1
186880 45.625 1
187392 45.75 1
187904 45.875 1
188416 46 1
188928 46.125 1
189440 46.25 1
189952 46.375 1
190464 46.5 1
190976 46.625 1
191488 46.75 1
192000 46.875 1
192512 47 1
193024 47.125 1
193536 47.25 1
194048 47.375 1
194560 47.5 1
195072 47.625 1
195584 47.75 1
196096 47.875 1
196608 48 1
197120 48.125 1
197632 48.25 1
198144 48.375 1
198656 48.5 1
199168 48.625 1
199680 48.75 1
200192 48.875 1
200704 49 1
201216 49.125 1
201728 49.25 1
202240 49.375 1
202752 49.5 1
203264 49.625 1
203776 49.75 1
204288 49.875 1
204800 50 1
205312 50.125 1
205824 50.25 1
206336 50.375 1
206848 50.5 1
207360 50.625 1
207872 50.75 1
208384 50.875 1
208896 51 1
209408 51.125 1
209920 51.25 1
210432 51.375 1
210944 51.5 1
211456 51.625 1
211968 51.75 1
212480 51.875 1
212992 52 1
213504 52.125 1
214016 52.25 1
214528 52.375 1
215040 52.5 1
215552 52.625 1
216064 52.75 1
216576 52.875 1
217088 53 1
217600 53.125 1
218112 53.25 1
218624 53.375 1
219136 53.5 1
219648 53.625 1
220160 53.75 1
220672 53.875 1
221184 54 1
221696 54.125 1
222208 54.25 1
222720 54.375 1
223232 54.5 1
223744 54.625 1
224256 54.75 1
224768 54.875 1
225280 55 1
225792 55.125 1
226304 55.25 1
226816 55.375 1
227328 55.5 1
227840 55.625 1
228352 55.75 1
228864 55.875 1
229376 56 1
229888 56.125 1
230400 56.25 1
230912 56.375 1
231424 56.5 1
231936 56.625 1
232448 56.75 1
232960 56.875 1
233472 57 1
233984 57.125 1
234496 57.25 1
235008 57.375 1
235520 57.5 1
236032 57.625 1
236544 57.75 1
237056 57.875 1
237568 58 1
238080 58.125 1
238592 58.25 1
239104 58.375 1
239616 58.5 1
240128 58.625 1
240640 58.75 1
241152 58.875 1
241664 59 1
242176 59.125 1
242688 59.25 1
243200 59.375 1
243712 59.5 1
244224 59.625 1
244736 59.75 1
245248 59.875 1
245760 60 1
246272 60.125 1
