# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
37376 9.125 1.63999601923635e-06 1.63999602632429e-06 1.63999602196193e-06
37888 9.25 1.65310527819193e-06 1.65310529189738e-06 1.65310527112923e-06
38400 9.375 1.66843205993177e-06 1.66843206101587e-06 1.66843205735471e-06
38912 9.5 1.67375695861159e-06 1.6737569588235e-06 1.67375695475609e-06
39424 9.625 1.67319528512684e-06 1.67319529224722e-06 1.67319528469829e-06
39936 9.75 1.66961072628827e-06 1.66961072156575e-06 1.66961070461818e-06
40448 9.875 1.67699294235075e-06 1.6769929337652e-06 1.67699294555806e-06
40960 10 1.684851646796e-06 1.68485165666551e-06 1.68485167114127e-06
41472 10.125 1.68621693943322e-06 1.68621695407329e-06 1.68621694908924e-06
41984 10.25 1.67707927668123e-06 1.67707929248149e-06 1.67707928888515e-06
42496 10.375 1.6734054676572e-06 1.67340547204178e-06 1.67340546681353e-06
43008 10.5 1.68273161892733e-06 1.68273164113397e-06 1.68273162495269e-06
43520 10.625 1.68605378674337e-06 1.6860538136048e-06 1.68605380067552e-06
44032 10.75 1.68724189109858e-06 1.68724192418186e-06 1.68724190087447e-06
44544 10.875 1.68468543686416e-06 1.68468545403326e-06 1.68468544658663e-06
45056 11 1.68628190372182e-06 1.6862819166606e-06 1.68628191205244e-06
45568 11.125 1.68993515919983e-06 1.68993514252481e-06 1.68993514978735e-06
46080 11.25 1.6917576288265e-06 1.69175761133901e-06 1.69175762273996e-06
46592 11.375 1.69972742540152e-06 1.69972740926947e-06 1.69972741092371e-06
47104 11.5 1.70786401361616e-06 1.70786401045179e-06 1.70786399618457e-06
47616 11.625 1.71658018483738e-06 1.71658017550259e-06 1.71658016993701e-06
48128 11.75 1.7196960846898e-06 1.71969607070518e-06 1.71969606147944e-06
48640 11.875 1.72224372724323e-06 1.7222437085266e-06 1.7222437172971e-06
49152 12 1.7342136669269e-06 1.73421363876729e-06 1.73421366984461e-06
49664 12.125 1.74673636056736e-06 1.7467363476497e-06 1.7467363629634e-06
50176 12.25 1.75639471413225e-06 1.75639469995891e-06 1.7563947089851e-06
50688 12.375 1.75831835725496e-06 1.75831836832969e-06 1.75831836930428e-06
51200 12.5 1.76629852342483e-06 1.76629854104366e-06 1.76629851919826e-06
51712 12.625 1.77737236266527e-06 1.77737236422048e-06 1.77737234367905e-06
52224 12.75 1.77528518673834e-06 1.77528519571613e-06 1.77528515641215e-06
52736 12.875 1.77246078475894e-06 1.77246076911566e-06 1.77246073282285e-06
53248 13 1.77564792101973e-06 1.77564788252728e-06 1.77564787890647e-06
53760 13.125 1.78469454341225e-06 1.78469450005191e-06 1.78469449649485e-06
54272 13.25 1.78690667954449e-06 1.78690666961343e-06 1.78690664996092e-06
54784 13.375 1.78310764294173e-06 1.78310762852384e-06 1.78310760751141e-06
55296 13.5 1.77428272471996e-06 1.77428268523124e-06 1.77428267522431e-06
55808 13.625 1.77987210958473e-06 1.77987206697658e-06 1.77987204515357e-06
56320 13.75 1.7798512952903e-06 1.77985129267145e-06 1.77985125585715e-06
56832 13.875 1.77223779172914e-06 1.77223778900769e-06 1.77223775338669e-06
57344 14 1.76454045801055e-06 1.76454044355929e-06 1.7645404269395e-06
57856 14.125 1.76570057205827e-06 1.7657005654813e-06 1.76570055351397e-06
58368 14.25 1.76245196469232e-06 1.76245196680307e-06 1.76245196348646e-06
58880 14.375 1.75825004584515e-06 1.75825005272411e-06 1.7582500522166e-06
59392 14.5 1.76183833593226e-06 1.76183831992271e-06 1.76183830727729e-06
59904 14.625 1.75889557475839e-06 1.75889557745326e-06 1.75889554790234e-06
60416 14.75 1.75404919162543e-06 1.75404918639489e-06 1.75404916272026e-06
60928 14.875 1.74006743722968e-06 1.74006742793297e-06 1.74006739104021e-06
61440 15 1.73822370182842e-06 1.73822371494643e-06 1.73822369585191e-06
61952 15.125 1.7389184187711e-06 1.73891841953767e-06 1.73891839281398e-06
62464 15.25 1.74523873846496e-06 1.74523875191304e-06 1.74523872942576e-06
62976 15.375 1.75352813792111e-06 1.75352812670963e-06 1.75352809747264e-06
63488 15.5 1.75925777078213e-06 1.75925775257903e-06 1.75925771988262e-06
64000 15.625 1.7609221763582e-06 1.76092212764146e-06 1.76092214698647e-06
64512 15.75 1.74841026309037e-06 1.74841023257831e-06 1.74841021508123e-06
65024 15.875 1.75117777201076e-06 1.75117775348576e-06 1.75117775273496e-06
65536 16 1.75784667262091e-06 1.75784662897778e-06 1.75784666211055e-06
66048 16.125 1.76730616316131e-06 1.76730610746848e-06 1.76730615121409e-06
66560 16.25 1.76898226866917e-06 1.76898224152048e-06 1.76898224495583e-06
67072 16.375 1.77453933998068e-06 1.7745393107482e-06 1.77453932194293e-06
67584 16.5 1.7740748984835e-06 1.77407489482804e-06 1.77407489155336e-06
68096 16.625 1.78318903274718e-06 1.78318901777562e-06 1.78318900970326e-06
68608 16.75 1.79487384628278e-06 1.7948738188178e-06 1.79487382961981e-06
69120 16.875 1.8055350665739e-06 1.80553506397805e-06 1.8055350513878e-06
69632 17 1.81565279226141e-06 1.8156528062867e-06 1.81565280424636e-06
70144 17.125 1.82268334270789e-06 1.82268336689955e-06 1.82268336848778e-06
70656 17.25 1.8357713619083e-06 1.83577137634617e-06 1.83577137908858e-06
71168 17.375 1.85198792546282e-06 1.85198794699222e-06 1.85198794660164e-06
71680 17.5 1.87423409408043e-06 1.87423411658513e-06 1.87423409049638e-06
72192 17.625 1.88914799986856e-06 1.88914802720153e-06 1.88914800974856e-06
72704 17.75 1.90220141329577e-06 1.90220144030934e-06 1.90220145778217e-06
73216 17.875 1.92050069531096e-06 1.92050067324668e-06 1.92050071233113e-06
73728 18 1.94257552014856e-06 1.94257547690981e-06 1.94257550024069e-06
74240 18.125 1.9640356543298e-06 1.96403561277383e-06 1.96403562943294e-06
74752 18.25 1.9765943872945e-06 1.97659433176113e-06 1.97659436559811e-06
75264 18.375 1.99027801742403e-06 1.99027795674203e-06 1.99027799290653e-06
75776 18.5 2.00547725631045e-06 2.00547719464017e-06 2.00547723760707e-06
76288 18.625 2.02479154573744e-06 2.02479149696895e-06 2.02479153942184e-06
76800 18.75 2.0422579607538e-06 2.04225791115023e-06 2.04225794631925e-06
77312 18.875 2.05598598147534e-06 2.05598595480027e-06 2.05598596163654e-06
77824 19 2.07329372257274e-06 2.07329369814165e-06 2.07329367975356e-06
78336 19.125 2.09136722507566e-06 2.09136719067784e-06 2.09136716845376e-06
78848 19.25 2.1078127316177e-06 2.10781269710164e-06 2.107812676076e-06
79360 19.375 2.12433135798708e-06 2.1243313058235e-06 2.12433130259733e-06
79872 19.5 2.13779735191204e-06 2.13779731613775e-06 2.13779733252294e-06
80384 19.625 2.15065940515117e-06 2.15065939273568e-06 2.15065942527467e-06
80896 19.75 2.16450967316241e-06 2.16450964566535e-06 2.16450967825661e-06
81408 19.875 2.18220961655737e-06 2.18220958001082e-06 2.18220963122076e-06
81920 20 2.19704681588753e-06 2.19704681311326e-06 2.1970468434151e-06
82432 20.125 2.2091962916485e-06 2.2091962895934e-06 2.20919627280584e-06
82944 20.25 2.22002747502562e-06 2.22002747465449e-06 2.22002746616144e-06
83456 20.375 2.23075989338209e-06 2.2307599133016e-06 2.23075986331743e-06
83968 20.5 2.24549316752641e-06 2.24549318771453e-06 2.24549315746566e-06
84480 20.625 2.25302827083784e-06 2.25302828942209e-06 2.25302828816068e-06
84992 20.75 2.25958659969956e-06 2.25958663166196e-06 2.2595866285328e-06
85504 20.875 2.26782562766575e-06 2.26782566982417e-06 2.26782566872978e-06
86016 21 2.28437625105149e-06 2.28437628926429e-06 2.2843762843096e-06
86528 21.125 2.29642515673579e-06 2.29642517326733e-06 2.29642516064823e-06
87040 21.25 2.3031364048412e-06 2.30313642114069e-06 2.30313639596059e-06
