# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
91648 22.375 0.00144705618549121
92160 22.5 0.00144877975579286
92672 22.625 0.00145050776250339
93184 22.75 0.00145224025579519
93696 22.875 0.00145397726992507
94208 23 0.00145571883973944
94720 23.125 0.00145746501247533
95232 23.25 0.00145921585597158
95744 23.375 0.00146097147736621
96256 23.5 0.00146273205206004
96768 23.625 0.00146449783638049
97280 23.75 0.00146626913994681
97792 23.875 0.00146804626777368
98304 24 0.00146982946638717
98816 24.125 0.00147161889726491
99328 24.25 0.00147341463343387
99840 24.375 0.00147521665954686
100352 24.5 0.00147702486504644
100864 24.625 0.00147883904724289
101376 24.75 0.00148065893967056
101888 24.875 0.00148248427246721
102400 25 0.00148431483775013
102912 25.125 0.00148615051835396
103424 25.25 0.0014879912616133
103936 25.375 0.00148983701824102
104448 25.5 0.00149168768533638
104960 25.625 0.00149354308311722
105472 25.75 0.00149540296949034
105984 25.875 0.00149726707144593
106496 26 0.0014991351057667
107008 26.125 0.00150100678355335
107520 26.25 0.00150288182219569
108032 26.375 0.00150475998604847
108544 26.5 0.0015066411401862
109056 26.625 0.00150852527502857
109568 26.75 0.00151041247724179
110080 26.875 0.00151230286261207
110592 27 0.0015141965088492
111104 27.125 0.00151609342125962
111616 27.25 0.00151799354605305
112128 27.375 0.0015198968212158
112640 27.5 0.00152180323039386
113152 27.625 0.00152371282414737
113664 27.75 0.00152562570543654
114176 27.875 0.00152754200935734
114688 28 0.00152946190019697
115200 28.125 0.00153138557228188
115712 28.25 0.00153331322601146
116224 28.375 0.00153524501850678
116736 28.5 0.00153718102311535
117248 28.625 0.00153912123000372
117760 28.75 0.00154106558495913
118272 28.875 0.00154301403551251
118784 29 0.0015449665580141
119296 29.125 0.00154692316258854
119808 29.25 0.00154888388566414
120320 29.375 0.00155084877304547
120832 29.5 0.00155281784831708
121344 29.625 0.00155479107034629
121856 29.75 0.00155676830313805
122368 29.875 0.00155874932595987
122880 30 0.00156073388844513
123392 30.125 0.00156272178100504
123904 30.25 0.00156471287631341
124416 30.375 0.00156670711826314
124928 30.5 0.00156870447530156
125440 30.625 0.00157070490052389
125952 30.75 0.00157270832709048
126464 30.875 0.00157471468742242
126976 31 0.00157672392071073
127488 31.125 0.00157873595304619
128000 31.25 0.00158075067580381
128512 31.375 0.00158276796127111
129024 31.5 0.00158478772101596
129536 31.625 0.00158680996635308
130048 31.75 0.00158883481944988
130560 31.875 0.00159086245935924
131072 32 0.00159289303750413
131584 32.125 0.00159492662026693
132096 32.25 0.00159696319525966
132608 32.375 0.00159900272898049
133120 32.5 0.00160104522785271
133632 32.625 0.00160309076045725
134144 32.75 0.00160513943681236
134656 32.875 0.00160719137337217
135168 33 0.00160924667276436
135680 33.125 0.00161130542154394
136192 33.25 0.00161336768913892
136704 33.375 0.0016154335159193
137216 33.5 0.00161750289934657
137728 33.625 0.00161957579725868
138240 33.75 0.00162165215297045
138752 33.875 0.00162373192316857
139264 34 0.0016258150847862
139776 34.125 0.00162790162011048
140288 34.25 0.00162999150294127
140800 34.375 0.00163208470105113
141312 34.5 0.00163418118053424
141824 34.625 0.00163628088875364
142336 34.75 0.0016383837229509
142848 34.875 0.00164048952399021
143360 35 0.00164259812122642
143872 35.125 0.00164470940152919
144384 35.25 0.00164682334202505
144896 35.375 0.00164893997452416
145408 35.5 0.00165105931423872
145920 35.625 0.00165318131911551
146432 35.75 0.00165530591294323
146944 35.875 0.00165743304006807
147456 36 0.00165956269174799
147968 36.125 0.00166169488310737
148480 36.25 0.00166382961949557
148992 36.375 0.00166596690125469
149504 36.5 0.00166810676488605
150016 36.625 0.00167024930972061
150528 36.75 0.00167239467301692
151040 36.875 0.00167454297473903
151552 37 0.00167669428415756
152064 37.125 0.00167884863106548
152576 37.25 0.00168100603808392
153088 37.375 0.00168316654266776
153600 37.5 0.00168533020380458
154112 37.625 0.00168749710425732
154624 37.75 0.00168966734777672
155136 37.875 0.0016918410399215
155648 38 0.00169401825507926
156160 38.125 0.00169619901240907
156672 38.25 0.00169838327870903
157184 38.375 0.00170057099122162
157696 38.5 0.00170276208063156
158208 38.625 0.00170495648510734
158720 38.75 0.00170715415758092
159232 38.875 0.00170935506368265
159744 39 0.00171155916201679
160256 39.125 0.00171376637252226
160768 39.25 0.00171597655866045
161280 39.375 0.00171818954198796
161792 39.5 0.0017204051342036
162304 39.625 0.00172262315334098
162816 39.75 0.0017248434147279
163328 39.875 0.00172706572260598
163840 40 0.00172928988478181
164352 40.125 0.00173151573306077
164864 40.25 0.0017337431132032
165376 40.375 0.00173597184253986
165888 40.5 0.00173820167973502
166400 40.625 0.00174043234567879
166912 40.75 0.00174266357844525
167424 40.875 0.00174489516704627
167936 41 0.00174712693475346
168448 41.125 0.00174935869813192
168960 41.25 0.00175159024567086
169472 41.375 0.00175382134753635
169984 41.5 0.00175605177394532
170496 41.625 0.00175828130138584
171008 41.75 0.00176050970725047
171520 41.875 0.00176273676224358
172032 42 0.00176496222509619
172544 42.125 0.00176718584258592
173056 42.25 0.00176940735826564
173568 42.375 0.00177162652403375
174080 42.5 0.00177384309966242
174592 42.625 0.00177605683722966
175104 42.75 0.00177826746947831
175616 42.875 0.00178047471799503
176128 43 0.00178267830626862
176640 43.125 0.00178487795062526
177152 43.25 0.00178707333938081
