# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
34816 8.5 -4.95004318377418e-05 -4.95004319115237e-05 -4.95004318853354e-05
35328 8.625 -5.00096527058512e-05 -5.00096527010855e-05 -5.0009652763928e-05
35840 8.75 -5.03727621072297e-05 -5.03727620472116e-05 -5.03727621981075e-05
36352 8.875 -5.09191220682505e-05 -5.09191221097194e-05 -5.09191222193319e-05
36864 9 -5.13015222971315e-05 -5.13015223795608e-05 -5.13015225188941e-05
37376 9.125 -5.15757632623726e-05 -5.15757633956742e-05 -5.15757635186185e-05
37888 9.25 -5.19640654795935e-05 -5.19640656706722e-05 -5.19640657591146e-05
38400 9.375 -5.22732666254535e-05 -5.22732668067345e-05 -5.22732669022385e-05
38912 9.5 -5.24774598342578e-05 -5.24774599934575e-05 -5.24774600925451e-05
39424 9.625 -5.2792020685581e-05 -5.27920208873776e-05 -5.27920208488743e-05
39936 9.75 -5.30212778624359e-05 -5.30212780975499e-05 -5.30212781003539e-05
40448 9.875 -5.31319097735335e-05 -5.31319100058589e-05 -5.31319100592504e-05
40960 10 -5.32806338220844e-05 -5.3280633936689e-05 -5.32806340524029e-05
41472 10.125 -5.33323176765648e-05 -5.33323178067125e-05 -5.33323180159518e-05
41984 10.25 -5.31688791709135e-05 -5.31688793367664e-05 -5.3168879639275e-05
42496 10.375 -5.27780534977659e-05 -5.2778053683877e-05 -5.27780540345646e-05
43008 10.5 -5.21289648915598e-05 -5.21289650729181e-05 -5.21289653943883e-05
43520 10.625 -5.11882709488555e-05 -5.11882711253079e-05 -5.11882713244133e-05
44032 10.75 -5.00327067171854e-05 -5.00327069983639e-05 -5.00327071730183e-05
44544 10.875 -4.87203667530837e-05 -4.87203671892365e-05 -4.87203671460728e-05
45056 11 -4.74880414267511e-05 -4.74880414253715e-05 -4.74880416869454e-05
45568 11.125 -4.6190666185949e-05 -4.61906661228795e-05 -4.61906664424242e-05
46080 11.25 -4.61939446524088e-05 -4.61939447040436e-05 -4.61939449456463e-05
46592 11.375 -4.64630553693176e-05 -4.64630553691827e-05 -4.64630555780097e-05
47104 11.5 -4.66020526903698e-05 -4.66020526670342e-05 -4.66020529206225e-05
47616 11.625 -4.65233192575762e-05 -4.65233192658403e-05 -4.65233195100265e-05
48128 11.75 -4.62195822326284e-05 -4.62195822804786e-05 -4.62195825748583e-05
48640 11.875 -4.57655640774739e-05 -4.57655641637628e-05 -4.57655645354076e-05
49152 12 -4.53496519895903e-05 -4.53496520734988e-05 -4.53496522331351e-05
49664 12.125 -4.51359475913273e-05 -4.51359476962674e-05 -4.51359478585643e-05
50176 12.25 -4.51048023822864e-05 -4.51048023109064e-05 -4.51048022769164e-05
50688 12.375 -4.50867396709715e-05 -4.50867395406939e-05 -4.50867395137469e-05
51200 12.5 -4.48842137159821e-05 -4.48842135392798e-05 -4.48842135018881e-05
51712 12.625 -4.45215957619672e-05 -4.45215955512959e-05 -4.45215954926163e-05
52224 12.75 -4.40376476472976e-05 -4.40376474136604e-05 -4.40376473522399e-05
52736 12.875 -4.37978636100709e-05 -4.37978634688491e-05 -4.37978632807068e-05
53248 13 -4.37618902791936e-05 -4.37618901983129e-05 -4.37618900320618e-05
53760 13.125 -4.35930453395363e-05 -4.35930453059544e-05 -4.35930451525878e-05
54272 13.25 -4.32741612906826e-05 -4.32741612922949e-05 -4.32741611444227e-05
54784 13.375 -4.28062555004447e-05 -4.2806255531872e-05 -4.28062553994269e-05
55296 13.5 -4.26552033553483e-05 -4.26552033265751e-05 -4.26552033408723e-05
55808 13.625 -4.24962223187492e-05 -4.24962223044355e-05 -4.24962224899783e-05
56320 13.75 -4.22612055974918e-05 -4.22612056067911e-05 -4.22612059756652e-05
56832 13.875 -4.19116263733484e-05 -4.19116261976463e-05 -4.1911626574718e-05
57344 14 -4.1676382091775e-05 -4.16763819989797e-05 -4.16763822901963e-05
57856 14.125 -4.14007203780556e-05 -4.14007203997808e-05 -4.14007205957955e-05
58368 14.25 -4.11052141232857e-05 -4.11052142233623e-05 -4.11052143225018e-05
58880 14.375 -4.09574228237233e-05 -4.09574229937333e-05 -4.09574230599476e-05
59392 14.5 -4.07143342604949e-05 -4.07143344303769e-05 -4.07143344396005e-05
59904 14.625 -4.03906599662854e-05 -4.03906600752242e-05 -4.03906600111293e-05
60416 14.75 -3.99974062172892e-05 -3.99974062359988e-05 -3.99974061123137e-05
60928 14.875 -3.98415455829191e-05 -3.98415455334063e-05 -3.98415453996473e-05
61440 15 -3.96136398977049e-05 -3.96136397763352e-05 -3.96136396322762e-05
61952 15.125 -3.92881888550296e-05 -3.92881887152522e-05 -3.92881885186204e-05
62464 15.25 -3.88640226912081e-05 -3.88640225798816e-05 -3.88640223181303e-05
62976 15.375 -3.86794941862841e-05 -3.86794940624964e-05 -3.86794936986421e-05
63488 15.5 -3.84431848644324e-05 -3.84431846938262e-05 -3.84431844030857e-05
64000 15.625 -3.81119805681618e-05 -3.81119803726504e-05 -3.81119801756142e-05
64512 15.75 -3.77067707518666e-05 -3.77067705607067e-05 -3.77067703187623e-05
65024 15.875 -3.74950978681328e-05 -3.74950976565375e-05 -3.74950974472137e-05
65536 16 -3.72218390676543e-05 -3.72218388477716e-05 -3.72218386570048e-05
66048 16.125 -3.68653258983501e-05 -3.686532567969e-05 -3.68653254848444e-05
66560 16.25 -3.65998048664495e-05 -3.65998047406169e-05 -3.65998046520537e-05
67072 16.375 -3.63347014401503e-05 -3.63347012764657e-05 -3.63347012566782e-05
67584 16.5 -3.60072381273331e-05 -3.60072378978367e-05 -3.60072378799832e-05
68096 16.625 -3.57484693323382e-05 -3.57484691009544e-05 -3.57484691319376e-05
68608 16.75 -3.55015889617096e-05 -3.55015886587201e-05 -3.55015886683522e-05
69120 16.875 -3.51878676991852e-05 -3.51878673586243e-05 -3.51878672896495e-05
69632 17 -3.48736123789401e-05 -3.48736121453103e-05 -3.48736122165947e-05
70144 17.125 -3.46683081502256e-05 -3.46683078283261e-05 -3.46683078080439e-05
