# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
11776 2.875 89.6822952668505 86.1606901199182 121.400782108307 115.407394170761 114.047186851501 0 7.3729510307312 69 487414.107251816 487414.107251816 56251192 56251192 399238.474545449 399238.474545449 46075072 46075072 179.232056425767 2333379.57839335 6615.67550307825 2326763.90289028 1322 17158941 48861 17110080 0 0 0 0 121.153989076614 1688998455.32429 14963
12288 3 89.5096207134205 86.2883924259226 126.650809049606 120.657421112061 119.146878480911 0 7.57835388183594 72 486475.638705101 486475.638705101 58696896 58696896 398469.779619666 398469.779619666 48078336 48078336 187.101944393944 2473362.43720437 6687.16208667244 2466675.2751177 1468 20012137 50377 19961760 0 0 0 0 126.392457485199 1688998460.57432 15602
12800 3.125 89.332825279243 86.395394828049 131.926939964294 125.933552026749 124.274730682373 0 7.67226648330688 75 485514.773592768 485514.773592768 61142600 61142600 397682.739778217 397682.739778217 50081600 50081600 194.715009104649 2615371.22975482 6744.19610058571 2608627.03365424 1494 20013580 51820 19961760 0 0 0 0 131.659254550934 1688998465.85045 16241
13312 3.25 89.7370786531647 86.4948656107971 136.374275922775 130.380887985229 128.62490105629 0 7.76826500892639 78 487711.849356355 487711.849356355 63588304 63588304 399482.353624563 399482.353624563 52084864 52084864 195.628683102734 2582775.68769582 6856.94019395116 2575918.74750186 1520 20015106 53346 19961760 0 0 0 0 136.096179485321 1688998470.29779 16880
13824 3.375 90.1264459474076 86.6001414568942 140.803985118866 134.81059718132 132.961789369583 0 7.86107468605042 81 489828.020798575 489828.020798575 66034008 66034008 401215.699143084 401215.699143084 54088128 54088128 196.628603684244 2552397.90486363 6967.94644599341 2545429.95841764 1546 20016616 54856 19961760 0 0 0 0 140.515516519547 1688998474.7275 17519
14336 3.5 90.283451285679 86.7149572558193 145.553848028183 139.560460090637 137.556202173233 0 8.07302641868591 84 490681.328762645 490681.328762645 68479712 68479712 401914.639458566 401914.639458566 56091392 56091392 203.559901191722 2677989.9220899 7023.94192226352 2670965.98016763 1692 22869820 56380 22813440 0 0 0 0 145.254192590714 1688998479.47736 18158
14848 3.625 86.3805757512481 86.6604440941247 157.069019079208 151.075631141663 148.920551776886 0 8.16754245758057 87 469469.599193623 469469.599193623 70925416 70925416 384540.217114996 384540.217114996 58094656 58094656 210.346306416606 2806797.1744185 7075.56376688998 2799721.61065161 1718 22871307 57867 22813440 0 0 0 0 156.75963640213 1688998490.99253 18797
15360 3.75 86.7711639982485 86.6556224165365 161.575027942657 155.581640005112 153.333036899567 0 8.26085901260376 90 471592.406389272 471592.406389272 73371120 73371120 386278.997946194 386278.997946194 60097920 60097920 211.114036754338 2775132.83870575 7180.30384777111 2767952.53485798 1744 22872826 59386 22813440 0 0 0 0 161.255352973938 1688998495.49854 19436
15872 3.875 87.2327999500206 86.6620367508341 165.910300016403 159.916912078857 157.575412273407 0 8.35374283790588 93 474101.3505977 474101.3505977 75816824 75816824 388334.06168684 388334.06168684 62101184 62101184 211.880478112494 2744382.97255066 7280.72193305694 2737102.2506176 1770 22874336 60896 22813440 0 0 0 0 165.580008983612 1688998499.83381 20075
16384 4 87.3407339181341 86.6778721358915 170.864912986755 164.87152504921 162.380834341049 0 8.55981087684631 96 474687.960681147 474687.960681147 78262528 78262528 388814.551092838 388814.551092838 64104448 64104448 218.291234362532 2861280.76055564 7332.67601561959 2853948.08454002 1916 25727528 62408 25665120 0 0 0 0 170.256163835526 1688998504.78842 20714
