# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.115199999320431
512 0.125 0.115185432865705
1024 0.25 0.115171535250027
1536 0.375 0.115158662949058
2048 0.5 0.115147172141205
2560 0.625 0.115137397955159
3072 0.75 0.115129645596017
3584 0.875 0.11512418302599
4096 1 0.115121235703311
4608 1.125 0.115121283583798
5120 1.25 0.115125322195861
5632 1.375 0.115133281739279
6144 1.5 0.115145206697647
6656 1.625 0.115160612795039
7168 1.75 0.115178890323938
7680 1.875 0.115199364660198
8192 2 0.115221350626009
8704 2.125 0.115244202177519
9216 2.25 0.115267353655026
9728 2.375 0.115290349523509
10240 2.5 0.115312772112757
10752 2.625 0.11533478041318
11264 2.75 0.115356520969057
11776 2.875 0.115378068862871
12288 3 0.115399560584073
12800 3.125 0.115421298948778
13312 3.25 0.115443830809311
13824 3.375 0.115467233488777
14336 3.5 0.115491546531312
14848 3.625 0.115516810436771
15360 3.75 0.115543073728425
15872 3.875 0.115570392815431
16384 4 0.1155988289024
16896 4.125 0.115628444333704
17408 4.25 0.115659299088569
17920 4.375 0.115691447936999
18432 4.5 0.115724938284636
18944 4.625 0.115759808372373
19456 4.75 0.115796085507192
19968 4.875 0.115833784304076
20480 5 0.115872905263798
20992 5.125 0.115913434147481
21504 5.25 0.115955342405151
22016 5.375 0.11599858848792
22528 5.5 0.116043119563432
23040 5.625 0.116088873257403
23552 5.75 0.11613577925248
24064 5.875 0.116183760231073
24576 6 0.116232735113475
25088 6.125 0.116282624057068
25600 6.25 0.116333351500474
26112 6.375 0.116384848578028
26624 6.5 0.116437054736138
27136 6.625 0.11648991873404
27648 6.75 0.116543399445443
28160 6.875 0.116597466681252
28672 7 0.116652099930072
29184 7.125 0.116707288237486
29696 7.25 0.116763032152798
30208 7.375 0.116819343487286
30720 7.5 0.116876244501397
31232 7.625 0.116933767016097
31744 7.75 0.11699195168459
32256 7.875 0.117050847275313
32768 8 0.117110509579921
33280 8.125 0.11717099976382
33792 8.25 0.117232382428905
34304 8.375 0.117294723968856
34816 8.5 0.117358091587623
35328 8.625 0.117422552662927
35840 8.75 0.117488173543019
36352 8.875 0.117555017031955
36864 9 0.117623138962686
37376 9.125 0.117692586264284
37888 9.25 0.117763393910767
38400 9.375 0.117835585051161
38912 9.5 0.117909175152017
39424 9.625 0.117984174424833
39936 9.75 0.118060585848823
40448 9.875 0.118138401518789
40960 10 0.118217601268039
41472 10.125 0.118298153054579
41984 10.25 0.118380015082913
42496 10.375 0.118463138096176
43008 10.5 0.118547466959575
43520 10.625 0.118632941813794
44032 10.75 0.11871949926719
44544 10.875 0.118807073781498
45056 11 0.118895599849456
45568 11.125 0.118985014074755
46080 11.25 0.119075256452517
46592 11.375 0.119166271173048
47104 11.5 0.119258007120687
47616 11.625 0.119350418318075
48128 11.75 0.119443464617548
48640 11.875 0.119537113209414
49152 12 0.119631341312113
49664 12.125 0.119726138855503
50176 12.25 0.11982150837726
50688 12.375 0.119917460849131
51200 12.5 0.120014010756198
51712 12.625 0.120111175486954
52224 12.75 0.120208979562854
52736 12.875 0.120307458363587
53248 13 0.120406656648586
53760 13.125 0.120506623432328
54272 13.25 0.120607407887578
54784 13.375 0.120709057917511
55296 13.5 0.120811619715561
55808 13.625 0.120915137852025
56320 13.75 0.121019656537935
56832 13.875 0.121125220044471
57344 14 0.121231869282997
57856 14.125 0.121339636498636
58368 14.25 0.121448543680166
58880 14.375 0.121558605399443
