# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
92160 22.5 1.0160193432227
92672 22.625 1.01612030244903
93184 22.75 1.01620764044696
93696 22.875 1.01628015038391
94208 23 1.01633655514559
94720 23.125 1.01637551481572
95232 23.25 1.01639563962066
95744 23.375 1.01639550912704
96256 23.5 1.0164878983022
96768 23.625 1.01659981489312
97280 23.75 1.01669722199464
97792 23.875 1.01677907310426
98304 24 1.01684424953541
98816 24.125 1.01689190676312
99328 24.25 1.01692179955349
99840 24.375 1.01693439053964
100352 24.5 1.0169290266511
100864 24.625 1.01690512684182
101376 24.75 1.01686221545838
101888 24.875 1.01693158307542
102400 25 1.01702892789277
102912 25.125 1.01706880189535
103424 25.25 1.01708283597364
103936 25.375 1.01707299910952
104448 25.5 1.01706803182432
104960 25.625 1.01716812970768
105472 25.75 1.01734481114323
105984 25.875 1.01751052153543
106496 26 1.01766380835456
107008 26.125 1.01780372927796
107520 26.25 1.01793017597362
108032 26.375 1.01804270786824
108544 26.5 1.01813815763847
109056 26.625 1.01827391248003
109568 26.75 1.01846678379154
110080 26.875 1.01867089611827
110592 27 1.01886604241363
111104 27.125 1.01905152491282
111616 27.25 1.01922659803078
112128 27.375 1.01939046058931
112640 27.5 1.01954223828947
113152 27.625 1.01968102584906
113664 27.75 1.01980570661728
114176 27.875 1.01997301337449
114688 28 1.02013257376015
115200 28.125 1.02027640735478
115712 28.25 1.02040317766302
116224 28.375 1.02051156574574
116736 28.5 1.02059971449826
117248 28.625 1.02069282056927
117760 28.75 1.02082753212694
118272 28.875 1.02100388914799
118784 29 1.02116579969296
119296 29.125 1.02131161267563
119808 29.25 1.0214451031349
120320 29.375 1.02164630411781
120832 29.5 1.02183237341483
121344 29.625 1.02200230500031
121856 29.75 1.02215533375536
122368 29.875 1.02229090095938
122880 30 1.02240857564333
123392 30.125 1.02250807511238
123904 30.25 1.02258929285282
124416 30.375 1.02265230650523
124928 30.5 1.02269736524566
125440 30.625 1.02272482639502
125952 30.75 1.02274890414764
126464 30.875 1.02277079870293
126976 31 1.02277668485089
127488 31.125 1.02276618851909
128000 31.25 1.02273925844709
128512 31.375 1.02269631489361
129024 31.5 1.02264222236932
129536 31.625 1.022576384857
130048 31.75 1.022501616647
130560 31.875 1.02242083660002
131072 32 1.02234589994342
131584 32.125 1.02253442222995
132096 32.25 1.02270707864907
132608 32.375 1.02290580221098
133120 32.5 1.02318822177749
133632 32.625 1.02349072047551
134144 32.75 1.02360451016374
134656 32.875 1.02369006295773
135168 33 1.02374293650397
135680 33.125 1.0239732671476
136192 33.25 1.02421173496542
136704 33.375 1.02443467738813
137216 33.5 1.02463999498538
137728 33.625 1.02482550170692
138240 33.75 1.02498813329148
138752 33.875 1.02512305700241
139264 34 1.02530662811665
139776 34.125 1.02553764919287
140288 34.25 1.02575047590856
140800 34.375 1.02594747594047
141312 34.5 1.02613752120098
141824 34.625 1.02630330785916
142336 34.75 1.02656696989044
142848 34.875 1.02681975205011
143360 35 1.0270561008896
143872 35.125 1.02727424400448
144384 35.25 1.02747218425415
144896 35.375 1.02764755018274
145408 35.5 1.02787518811668
145920 35.625 1.02814060029971
146432 35.75 1.02839683115765
146944 35.875 1.02864273574155
147456 36 1.02887672279107
147968 36.125 1.02909499854635
148480 36.25 1.02931848401734
148992 36.375 1.02937208322908
149504 36.5 1.02921895663298
150016 36.625 1.029001932833
150528 36.75 1.02909275229872
151040 36.875 1.02918083602863
151552 37 1.02923612088139
152064 37.125 1.02925461827559
152576 37.25 1.02923191300642
153088 37.375 1.02916308365053
153600 37.5 1.02904286911739
154112 37.625 1.02890464592742
154624 37.75 1.02874765620837
155136 37.875 1.02852920203412
155648 38 1.02824372067077
156160 38.125 1.02788690315778
156672 38.25 1.02747609545011
157184 38.375 1.02765288264365
157696 38.5 1.02783736874719
158208 38.625 1.0280193817575
158720 38.75 1.02829923269095
159232 38.875 1.02856719441344
159744 39 1.02882206200717
160256 39.125 1.02906091027475
160768 39.25 1.02928022951135
161280 39.375 1.02948000199418
161792 39.5 1.02965321619721
162304 39.625 1.02979666724741
162816 39.75 1.02990824129037
163328 39.875 1.02998312729304
163840 40 1.03001511674004
164352 40.125 1.03010246971711
164864 40.25 1.03032723177671
165376 40.375 1.03054174656986
165888 40.5 1.03074423483682
166400 40.625 1.03093045734156
166912 40.75 1.03109735982426
167424 40.875 1.03124097185817
167936 41 1.03140130094911
168448 41.125 1.03164956780533
168960 41.25 1.03188895258807
169472 41.375 1.03211875995119
169984 41.5 1.03233808634111
170496 41.625 1.03254052421309
171008 41.75 1.03272342028214
171520 41.875 1.03288488103502
172032 42 1.0330621353032
172544 42.125 1.03339454033645
173056 42.25 1.03324248056153
173568 42.375 1.03312061286627
174080 42.5 1.03329803381785
174592 42.625 1.03346451351367
175104 42.75 1.03369813624966
175616 42.875 1.03392203505704
176128 43 1.0341292015979
176640 43.125 1.03431669961586
177152 43.25 1.03452898179669
177664 43.375 1.03487276602234
178176 43.5 1.03473030615017
178688 43.625 1.03428837198807
179200 43.75 1.03426527343531
179712 43.875 1.03418724306596
180224 44 1.03411690458519
180736 44.125 1.03405824779084
181248 44.25 1.03401299072563
181760 44.375 1.03398240598285
182272 44.5 1.03396682420781
182784 44.625 1.03399153229187
183296 44.75 1.03403160649596
183808 44.875 1.03408393776847
184320 45 1.03414786084703
184832 45.125 1.03422270324801
185344 45.25 1.03430717616148
185856 45.375 1.03447837238934
186368 45.5 1.03467282061321
186880 45.625 1.03487043796622
187392 45.75 1.03509747773004
187904 45.875 1.03529041086417
188416 46 1.03513935585876
188928 46.125 1.03539440313904
189440 46.25 1.03577666855507
189952 46.375 1.03609397838821
190464 46.5 1.03628083009312
190976 46.625 1.03646787848623
191488 46.75 1.03661341530942
192000 46.875 1.03675002407425
192512 47 1.03687681963864
193024 47.125 1.03699267238147
193536 47.25 1.03709529529437
194048 47.375 1.03739123792507
194560 47.5 1.03764144963922
195072 47.625 1.03785162816438
195584 47.75 1.03805549686239
196096 47.875 1.03825260909884
196608 48 1.03844332525078
197120 48.125 1.03860427851976
197632 48.25 1.03868319202738
198144 48.375 1.03875162597559
198656 48.5 1.0388098995207
199168 48.625 1.0388585249293
199680 48.75 1.03889829099783
200192 48.875 1.03892972261494
200704 49 1.03895306258648
201216 49.125 1.03896839436438
201728 49.25 1.03897562965561
202240 49.375 1.03897450763171
202752 49.5 1.03896459212308
203264 49.625 1.03894527755479
203776 49.75 1.03891580106742
204288 49.875 1.03887524224577
204800 50 1.0388225374299
205312 50.125 1.03875650469179
205824 50.25 1.03867588023562
206336 50.375 1.0385787326551
206848 50.5 1.03846303459367
207360 50.625 1.03832670759375
207872 50.75 1.03816780489803
208384 50.875 1.03798412264403
208896 51 1.03777246820951
209408 51.125 1.03756383504505
209920 51.25 1.03743768324246
210432 51.375 1.0372885102577
210944 51.5 1.03711455400269
211456 51.625 1.03719412596022
211968 51.75 1.03724932773733
212480 51.875 1.03727325377388
212992 52 1.03743054030034
213504 52.125 1.03768399099003
214016 52.25 1.03786962446518
214528 52.375 1.03796711539491
215040 52.5 1.03730782836732
215552 52.625 1.0369880731158
216064 52.75 1.0368924257735
216576 52.875 1.03678445615801
217088 53 1.03666498144216
217600 53.125 1.03655892213877
218112 53.25 1.0365053347405
218624 53.375 1.03656605317101
219136 53.5 1.03697532643299
219648 53.625 1.03731274299961
220160 53.75 1.03754101773731
220672 53.875 1.03773434971985
221184 54 1.03788231857586
221696 54.125 1.03796062575563
222208 54.25 1.03733653687633
222720 54.375 1.03683666515088
223232 54.5 1.03691613857914
223744 54.625 1.03699100966375
224256 54.75 1.03740289555185
224768 54.875 1.03789996406468
225280 55 1.03840158854257
225792 55.125 1.03891124406746
226304 55.25 1.03936410460751
226816 55.375 1.03980673218615
227328 55.5 1.04024215389929
227840 55.625 1.04066967133726
228352 55.75 1.04108900355849
228864 55.875 1.04149671040131
229376 56 1.04189082259817
229888 56.125 1.04226305256328
230400 56.25 1.04259557567737
230912 56.375 1.04288300039747
231424 56.5 1.04310497900694
231936 56.625 1.04337195588348
232448 56.75 1.04369715874767
232960 56.875 1.04397242604183
233472 57 1.04419803794433
233984 57.125 1.04430619601894
234496 57.25 1.0444767714344
235008 57.375 1.04462877599834
235520 57.5 1.04440828313496
236032 57.625 1.04163437122392
236544 57.75 1.04078305894375
237056 57.875 1.0410665720008
237568 58 1.04123098062553
238080 58.125 1.0411702281622
238592 58.25 1.04093972730982
239104 58.375 1.04140411340181
239616 58.5 1.04202597910343
240128 58.625 1.04262952447575
240640 58.75 1.04319552204106
241152 58.875 1.04373019988287
241664 59 1.04424146120541
242176 59.125 1.04472726807477
242688 59.25 1.04518490370184
243200 59.375 1.04561135565816
243712 59.5 1.046003461837
244224 59.625 1.04635810408313
244736 59.75 1.04667237539832
245248 59.875 1.04694376742319
245760 60 1.04717159290446
246272 60.125 1.04735426768426
246784 60.25 1.04642901955985
247296 60.375 1.04577217304723
247808 60.5 1.04616678639596
248320 60.625 1.0465596673472
248832 60.75 1.04718581381596
249344 60.875 1.04774815643526
249856 61 1.04821508135198
250368 61.125 1.04863732496414
250880 61.25 1.04901372538106
251392 61.375 1.04935716229652
251904 61.5 1.04967025531463
252416 61.625 1.04994569000453
252928 61.75 1.0502006125678
253440 61.875 1.05042294945319
253952 62 1.05061993405395
254464 62.125 1.05078229780597
254976 62.25 1.05083483193994
255488 62.375 1.05134706007386
256000 62.5 1.05148846421358
256512 62.625 1.05086277502733
257024 62.75 1.05144834780253
257536 62.875 1.05212985496264
258048 63 1.05280588926019
258560 63.125 1.05347912437245
259072 63.25 1.0541025652471
259584 63.375 1.05418894814093
260096 63.5 1.05449744022733
260608 63.625 1.05518537242391
261120 63.75 1.05577798283942
261632 63.875 1.05631891518423
262144 64 1.0567996159067
