# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
83456 20.375 0.967297370618228
83968 20.5 0.967300415145489
84480 20.625 0.967303459025979
84992 20.75 0.96730650208562
85504 20.875 0.967309544160411
86016 21 0.967312585092116
86528 21.125 0.967315624720301
87040 21.25 0.967318662876432
87552 21.375 0.967321699383836
88064 21.5 0.967324734062879
88576 21.625 0.967327766737241
89088 21.75 0.96733079723702
89600 21.875 0.967333825397316
90112 22 0.967336851054282
90624 22.125 0.967339874041896
91136 22.25 0.967342894191308
91648 22.375 0.967345911332289
92160 22.5 0.967348925294966
92672 22.625 0.967351935910554
93184 22.75 0.967354943010992
93696 22.875 0.967357946428116
94208 23 0.96736094599254
94720 23.125 0.96736394153181
95232 23.25 0.967366932867588
95744 23.375 0.967369919812796
96256 23.5 0.967372902170811
96768 23.625 0.967375879738644
97280 23.75 0.967378852314533
97792 23.875 0.967381819708374
98304 24 0.967384781752296
98816 24.125 0.967387738308888
99328 24.25 0.967390689275457
99840 24.375 0.967393634583313
100352 24.5 0.967396574191042
100864 24.625 0.96739950807065
101376 24.75 0.96740243618637
101888 24.875 0.967405358467975
102400 25 0.967408274783291
102912 25.125 0.967411184916846
103424 25.25 0.967414088562081
103936 25.375 0.967416985332629
104448 25.5 0.96741987479367
104960 25.625 0.967422756508343
105472 25.75 0.967425630088554
105984 25.875 0.967428495237312
106496 26 0.967431351773962
107008 26.125 0.96743419964511
107520 26.25 0.967437038939543
108032 26.375 0.967439869937523
108544 26.5 0.967442693224155
109056 26.625 0.967445509877518
109568 26.75 0.967448321707567
110080 26.875 0.96745113148552
110592 27 0.967453943085627
111104 27.125 0.96745676147898
111616 27.25 0.967459592573646
112128 27.375 0.967462442966726
112640 27.5 0.967465319725673
113152 27.625 0.967468230314377
113664 27.75 0.967471182714698
114176 27.875 0.967474185693181
114688 28 0.967477249079243
115200 28.125 0.967480383905721
115712 28.25 0.967483602328721
116224 28.375 0.967486917354459
116736 28.5 0.967490342488724
117248 28.625 0.967493891437303
117760 28.75 0.967497577923615
118272 28.875 0.967501415609042
118784 29 0.967505418069707
119296 29.125 0.967509598823047
119808 29.25 0.967513971458601
120320 29.375 0.967518549924901
120832 29.5 0.967523348915471
121344 29.625 0.967528384139873
121856 29.75 0.967533672197849
122368 29.875 0.96753922990943
122880 30 0.967545073266999
123392 30.125 0.967551216479318
123904 30.25 0.967557671632691
124416 30.375 0.967564449192753
124928 30.5 0.967571559056247
125440 30.625 0.967579011472018
125952 30.75 0.967586817186684
126464 30.875 0.967594986661156
126976 31 0.96760352884217
127488 31.125 0.967612450307539
128000 31.25 0.967621755367653
128512 31.375 0.967631447034046
129024 31.5 0.967641528125978
129536 31.625 0.96765200164825
130048 31.75 0.967662870059842
130560 31.875 0.967674133832743
131072 32 0.967685790221714
131584 32.125 0.967697833055956
132096 32.25 0.96771025369807
132608 32.375 0.967723042556857
133120 32.5 0.96773619020056
133632 32.625 0.967749687401291
134144 32.75 0.967763524129811
134656 32.875 0.967777688150877
135168 33 0.967792164063783
135680 33.125 0.967806933321118
136192 33.25 0.967821975176649
136704 33.375 0.967837268013413
137216 33.5 0.967852790340671
137728 33.625 0.96786852096974
138240 33.75 0.967884438338845
138752 33.875 0.967900519414443
139264 34 0.967916738823075
139776 34.125 0.967933068745885
140288 34.25 0.967949479691702
140800 34.375 0.967965941772924
141312 34.5 0.96798242582374
141824 34.625 0.967998903802043
142336 34.75 0.968015348352875
142848 34.875 0.968031731913038
143360 35 0.968048025987187
143872 35.125 0.968064201076571
144384 35.25 0.968080227311569
144896 35.375 0.968096075422942
145408 35.5 0.968111717542247
145920 35.625 0.968127127502169
146432 35.75 0.968142280652233
146944 35.875 0.968157153477978
147456 36 0.968171723362477
147968 36.125 0.968185968668405
148480 36.25 0.968199869077159
148992 36.375 0.968213405950919
149504 36.5 0.968226562475792
150016 36.625 0.968239323493431
150528 36.75 0.968251675139925
151040 36.875 0.968263604546561
151552 37 0.968275099814488
152064 37.125 0.968286150266092
152576 37.25 0.968296746743744
153088 37.375 0.968306881662085
153600 37.5 0.968316548708333
154112 37.625 0.968325742407883
154624 37.75 0.968334457969617
155136 37.875 0.968342691697855
155648 38 0.968350441854446
156160 38.125 0.968357709468294
156672 38.25 0.968364498539553
157184 38.375 0.968370815449668
157696 38.5 0.968376667916447
158208 38.625 0.968382064131169
158720 38.75 0.968387012556153
159232 38.875 0.96839152237042
159744 39 0.968395604103339
160256 39.125 0.968399269918236
160768 39.25 0.96840253332802
161280 39.375 0.968405408570313
161792 39.5 0.968407910099493
162304 39.625 0.968410052523372
162816 39.75 0.968411850961546
163328 39.875 0.968413321512087
163840 40 0.968414481477358
164352 40.125 0.96841534919657
164864 40.25 0.9684159435801
165376 40.375 0.968416283563032
165888 40.5 0.968416387653206
166400 40.625 0.968416273635239
166912 40.75 0.968415958424607
167424 40.875 0.968415458080345
167936 41 0.968414788017403
168448 41.125 0.968413963421848
168960 41.25 0.968412999746407
169472 41.375 0.968411913034053
169984 41.5 0.968410719808976
170496 41.625 0.96840943645012
171008 41.75 0.968408078253868
171520 41.875 0.968406658624323
172032 42 0.968405188829715
172544 42.125 0.968403678487631
173056 42.25 0.968402136527062
173568 42.375 0.968400572072332
174080 42.5 0.96839899471142
174592 42.625 0.968397413967398
