# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
104960 25.625 1.5061971063263
105472 25.75 1.50619711855107
105984 25.875 1.50619713079056
106496 26 1.50619714305412
107008 26.125 1.50619715532683
107520 26.25 1.50619716761797
108032 26.375 1.506197179961
108544 26.5 1.50619719238007
109056 26.625 1.50619720481706
109568 26.75 1.50619721727648
110080 26.875 1.50619722979543
110592 27 1.50619724236431
111104 27.125 1.50619725495297
111616 27.25 1.50619726757775
112128 27.375 1.50619728023978
112640 27.5 1.50619729293684
113152 27.625 1.50619730568011
113664 27.75 1.50619731843168
114176 27.875 1.50619733120168
114688 28 1.50619734402094
115200 28.125 1.50619735683719
115712 28.25 1.50619736967435
116224 28.375 1.50619738253916
116736 28.5 1.50619739541954
117248 28.625 1.50619740830793
117760 28.75 1.50619742123097
118272 28.875 1.506197434211
118784 29 1.50619744720675
119296 29.125 1.5061974601962
119808 29.25 1.50619747323331
120320 29.375 1.50619748629252
120832 29.5 1.50619749938774
121344 29.625 1.50619751253686
121856 29.75 1.50619752574343
122368 29.875 1.50619753899223
122880 30 1.50619755227504
123392 30.125 1.50619756561039
123904 30.25 1.50619757901658
124416 30.375 1.50619759248834
124928 30.5 1.50619760598646
125440 30.625 1.50619761948704
125952 30.75 1.50619763301393
126464 30.875 1.50619764656443
126976 31 1.50619766013734
127488 31.125 1.50619767373851
128000 31.25 1.50619768733415
128512 31.375 1.50619770096499
129024 31.5 1.50619771462063
129536 31.625 1.50619772830993
130048 31.75 1.50619774207955
130560 31.875 1.50619775590562
131072 32 1.50619776976001
131584 32.125 1.50619778366752
132096 32.25 1.50619779757748
132608 32.375 1.50619781148636
133120 32.5 1.50619782541191
133632 32.625 1.50619783937175
134144 32.75 1.50619785337705
134656 32.875 1.50619786743991
135168 33 1.50619788150274
135680 33.125 1.50619789557955
136192 33.25 1.50619790969741
136704 33.375 1.50619792381449
137216 33.5 1.50619793795172
137728 33.625 1.50619795212166
138240 33.75 1.50619796631514
138752 33.875 1.50619798055596
139264 34 1.50619799482641
139776 34.125 1.50619800911889
140288 34.25 1.50619802341613
140800 34.375 1.50619803774035
141312 34.5 1.50619805207594
141824 34.625 1.5061980664445
142336 34.75 1.50619808083621
142848 34.875 1.50619809523759
143360 35 1.5061981096532
143872 35.125 1.50619812409811
144384 35.25 1.50619813855111
144896 35.375 1.50619815301216
145408 35.5 1.50619816746092
145920 35.625 1.50619818192783
146432 35.75 1.50619819638999
146944 35.875 1.50619821084865
147456 36 1.506198225335
147968 36.125 1.50619823985711
148480 36.25 1.50619825444442
148992 36.375 1.50619826905999
149504 36.5 1.50619828371395
150016 36.625 1.50619829839944
150528 36.75 1.50619831308426
151040 36.875 1.50619832778207
151552 37 1.5061983424888
152064 37.125 1.50619835726019
152576 37.25 1.50619837206257
153088 37.375 1.50619838691876
153600 37.5 1.50619840179351
154112 37.625 1.50619841670159
154624 37.75 1.50619843165877
155136 37.875 1.50619844662595
155648 38 1.50619846162298
