# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
38912 9.5 3.12714807946842e-18 3.23667191744223e-18 7.51821204442476e-26
39424 9.625 2.85042878001823e-18 3.45620327782589e-18 8.13454890571043e-26
39936 9.75 2.84770855550531e-18 2.09175828891599e-18 7.76324256879958e-26
40448 9.875 3.90030016752505e-18 2.53379794301167e-18 6.6712099884702e-26
40960 10 3.91970483980224e-18 2.9336015287478e-18 6.71091515436779e-26
41472 10.125 3.14259505573933e-18 2.693513100355e-18 1.03803148432705e-25
41984 10.25 2.98140575207013e-18 2.89676229898252e-18 7.93148173827749e-26
42496 10.375 2.88930658682681e-18 2.66770324048813e-18 1.01852246564156e-25
43008 10.5 2.61948200315279e-18 2.64538766138607e-18 1.86745885149839e-25
43520 10.625 2.41480704960689e-18 2.43690190232698e-18 1.70841891210514e-25
44032 10.75 2.13907188450801e-18 2.35947865087879e-18 1.91482622004272e-25
44544 10.875 2.08591260525677e-18 2.84360803780199e-18 2.53320022830157e-25
45056 11 2.98887971484566e-18 2.97089259655209e-18 1.57071282391847e-25
45568 11.125 2.48056347733788e-18 2.77279974788814e-18 2.07119907170499e-25
46080 11.25 1.82305277550898e-18 2.85533356285986e-18 2.10573879946535e-25
46592 11.375 2.39781874747048e-18 3.04800225467755e-18 2.79622554049334e-25
47104 11.5 3.53770285009934e-18 3.14217602018912e-18 2.34121269320207e-25
47616 11.625 2.75831152371321e-18 3.42571198721117e-18 2.730284158381e-25
48128 11.75 2.69456647576807e-18 3.74367522295138e-18 2.60502319560796e-25
48640 11.875 2.64821289075414e-18 3.09413481147892e-18 1.67980928993643e-25
49152 12 2.54646453805406e-18 2.98422940537665e-18 2.03387723963299e-25
49664 12.125 2.58008180320403e-18 3.03664840245155e-18 1.61701158806772e-25
50176 12.25 2.39593314733035e-18 3.14653898951827e-18 2.02767917579572e-25
50688 12.375 2.68651939968928e-18 2.62758435390729e-18 1.64538499982556e-25
51200 12.5 2.48432556405528e-18 2.75648121370002e-18 1.84163478523804e-25
51712 12.625 2.37477882368608e-18 2.45419397764926e-18 2.30908440766983e-25
52224 12.75 1.95889944809247e-18 2.94531316062346e-18 1.7736459026703e-25
52736 12.875 2.03443470940712e-18 3.4502761553624e-18 1.90422159114582e-25
53248 13 2.50510939688907e-18 2.93383219655833e-18 1.78225379424132e-25
53760 13.125 2.51490346929105e-18 2.39295196289109e-18 2.24525187960178e-25
54272 13.25 2.2971373819833e-18 2.16089524862068e-18 2.70132980470144e-25
54784 13.375 2.34346045322208e-18 2.66140726573881e-18 2.67715858809703e-25
55296 13.5 1.96380038108638e-18 2.93346291177664e-18 2.03055760379901e-25
55808 13.625 2.0126279196489e-18 2.57402174576701e-18 2.02850043235506e-25
56320 13.75 2.66679969864156e-18 2.66009898703229e-18 2.60300241399939e-25
56832 13.875 2.09714907954149e-18 3.19131129818623e-18 3.02578775917066e-25
57344 14 2.07928866360285e-18 3.36315735929595e-18 2.0543303182164e-25
57856 14.125 1.98545545827921e-18 4.31931743754945e-18 1.91278436647545e-25
58368 14.25 2.2662576941073e-18 3.38082949057654e-18 2.25222433869358e-25
58880 14.375 2.59920503172231e-18 3.22870741493814e-18 2.63128452030975e-25
59392 14.5 2.62918815967565e-18 2.50369224716291e-18 2.85467909709642e-25
59904 14.625 2.56191720275591e-18 2.1177455619065e-18 2.73485434361417e-25
60416 14.75 2.2508964305085e-18 3.19072963314848e-18 2.88203000922872e-25
60928 14.875 2.23709985962337e-18 4.35701275396642e-18 3.76457430371792e-25
61440 15 2.83531943412854e-18 4.67762966428827e-18 3.21667223002206e-25
61952 15.125 2.07441706233976e-18 3.10007088032337e-18 1.1420780325522e-24
62464 15.25 2.69436174422716e-18 3.48431338112111e-18 3.57954679131062e-25
62976 15.375 2.63851172160517e-18 3.04986253057402e-18 6.47074201362749e-25
63488 15.5 2.43505691264032e-18 2.89612331951079e-18 5.70095323748432e-25
64000 15.625 2.24662658436167e-18 3.60928487419486e-18 8.68341687841179e-25
64512 15.75 2.06841166463207e-18 2.70148451194755e-18 7.8190078664506e-25
65024 15.875 2.31713106825408e-18 3.51433701801606e-18 9.67479434644647e-25
65536 16 2.22356002342765e-18 4.06549564372901e-18 8.9924786861287e-25
66048 16.125 2.45609783477718e-18 3.38096001381094e-18 6.70113531796762e-25
66560 16.25 2.18060947193946e-18 4.01555807005207e-18 7.08554553446079e-25
67072 16.375 2.13336236946776e-18 4.57452332376418e-18 5.46420286736266e-25
67584 16.5 2.0117056354315e-18 4.32099386804561e-18 8.98098897058978e-25
68096 16.625 1.84769720256778e-18 3.12881581485294e-18 8.03659888310884e-25
68608 16.75 2.42761373225367e-18 4.31144276691904e-18 7.7293962246137e-25
69120 16.875 2.61170586170593e-18 3.53694321900533e-18 4.97858792743634e-25
69632 17 3.0084413765843e-18 5.12769231984347e-18 5.87792702797308e-25
70144 17.125 2.8875035934749e-18 6.2304492422626e-18 6.68861632692775e-25
70656 17.25 2.39931621862961e-18 5.84833335229493e-18 7.29258574950529e-25
71168 17.375 2.07415450853532e-18 5.91398646765617e-18 4.72421236254914e-25
71680 17.5 2.51250996003371e-18 3.94994356011776e-18 5.77054347214047e-25
72192 17.625 2.40427066192982e-18 2.77568522051723e-18 5.15341530580355e-25
72704 17.75 3.13500099779641e-18 4.54091385073304e-18 6.39279736593068e-25
73216 17.875 3.08869477773385e-18 3.70296067991023e-18 6.47880971174178e-25
73728 18 3.17723508737294e-18 3.4405390120569e-18 7.23159558683134e-25
74240 18.125 2.67466460541538e-18 3.75053864649126e-18 8.00646026992715e-25
74752 18.25 2.42289450243599e-18 3.84986147912997e-18 6.6037309670615e-25
75264 18.375 2.05166396244665e-18 3.86063793758867e-18 9.27124181363011e-25
75776 18.5 1.98661147796426e-18 3.5884199416621e-18 5.91843032521688e-25
76288 18.625 2.05122073899602e-18 3.88888411675825e-18 8.33343923183337e-25
76800 18.75 2.74871874112864e-18 3.89081731685234e-18 7.19176983917817e-25
77312 18.875 2.66033483509603e-18 4.73778976322411e-18 5.86160337391105e-25
77824 19 2.7216798078475e-18 4.18879778377005e-18 6.58627594511347e-25
78336 19.125 2.52089389797581e-18 4.38479735642842e-18 5.76774259303495e-25
78848 19.25 3.07996769349454e-18 5.15707418517461e-18 6.79468424191208e-25
79360 19.375 3.99431436721586e-18 4.64442220070021e-18 8.13310791491312e-25
79872 19.5 3.38101475378205e-18 4.79512764488528e-18 9.60542263325604e-25
80384 19.625 3.52865400867122e-18 5.14798560538023e-18 5.59390578890774e-25
80896 19.75 3.32436616695353e-18 4.25378679566164e-18 6.98208610256921e-25
81408 19.875 3.18326141091891e-18 4.00094999934196e-18 5.53200271984764e-25
81920 20 2.52733894160179e-18 3.68881654253155e-18 7.17483290534985e-25
82432 20.125 2.89554364269674e-18 3.20398904739328e-18 8.58781421526792e-25
82944 20.25 3.02938239459091e-18 3.61686078195653e-18 6.91017239081483e-25
83456 20.375 2.68472845696487e-18 3.14819382416836e-18 7.55118925513436e-25
83968 20.5 3.10443393541781e-18 3.29902902993304e-18 5.3465276586582e-25
84480 20.625 3.4104067988621e-18 2.6434428851436e-18 5.68123530934858e-25
84992 20.75 3.15101038627009e-18 2.72919181131008e-18 6.84086402817306e-25
85504 20.875 3.12999313766911e-18 3.67157590458916e-18 9.57184974453409e-25
86016 21 3.10133293030193e-18 3.80934957036515e-18 6.92336299236197e-25
86528 21.125 2.53255728248427e-18 3.58478370424461e-18 8.06138249714267e-25
87040 21.25 2.87459266711387e-18 2.81976887350955e-18 1.0063250133182e-24
87552 21.375 4.049451210135e-18 3.26901510002602e-18 8.52865672713642e-25
88064 21.5 3.86707718528543e-18 3.21668576821413e-18 6.80519085786837e-25
88576 21.625 4.18298207130794e-18 3.32788976215905e-18 6.27028663421607e-25
89088 21.75 3.34446001332929e-18 2.761155719535e-18 5.85422907993755e-25
89600 21.875 3.76721421665697e-18 3.18628332685065e-18 7.00765352872643e-25
90112 22 3.89066354274063e-18 2.38674872582759e-18 8.12914659868823e-25
90624 22.125 4.30092849074494e-18 2.28482711114225e-18 6.27000049954079e-25
91136 22.25 4.35429234400629e-18 2.24154404926539e-18 6.01408374462957e-25
91648 22.375 3.67810743499695e-18 2.62671215797029e-18 1.12776507881842e-24
92160 22.5 3.13466154568816e-18 3.48351681028011e-18 8.49869972480471e-25
92672 22.625 3.51895504111773e-18 3.68585957216113e-18 6.75289807450362e-25
93184 22.75 3.45572854131206e-18 3.22456724705889e-18 9.66429855797566e-25
93696 22.875 3.40538468393414e-18 2.76854177209791e-18 1.48073079295542e-24
94208 23 3.30237055333297e-18 2.24166061751198e-18 1.13672629372834e-24
94720 23.125 3.23476528255356e-18 2.50788993107963e-18 1.05819201648474e-24
95232 23.25 3.14577051674501e-18 2.37297963080389e-18 1.26224879865627e-24
95744 23.375 3.36516687607173e-18 2.82006244611029e-18 9.27209053796623e-25
96256 23.5 3.85081052805727e-18 3.59964980084005e-18 1.35165454095608e-24
96768 23.625 3.67110073031991e-18 2.83341705269611e-18 1.44846401646485e-24
97280 23.75 3.6938769058639e-18 2.92002024787701e-18 2.55052850018038e-24
97792 23.875 3.4970285387692e-18 3.56996798349923e-18 2.62463789139118e-24
98304 24 3.50663301473586e-18 3.44787746584254e-18 2.52286491005865e-24
98816 24.125 3.65256165059787e-18 3.89455893171819e-18 2.12301580584019e-24
99328 24.25 3.94937951688256e-18 4.51865000709942e-18 2.71516296464078e-24
99840 24.375 3.87921366319178e-18 3.67097975536791e-18 4.36191082148871e-24
100352 24.5 4.33240631439637e-18 4.76619754901011e-18 2.201912403962e-24
100864 24.625 3.9487271808757e-18 4.19438424063343e-18 2.60100754261786e-24
101376 24.75 4.11940321179786e-18 5.0242414382148e-18 1.67722468872017e-24
101888 24.875 4.06172607418259e-18 4.90224400152373e-18 1.94236153349143e-24
102400 25 3.94910051379691e-18 5.66656834584921e-18 2.29639102942739e-24
102912 25.125 4.30149065364638e-18 5.51896696187151e-18 2.77597581852102e-24
103424 25.25 4.19154827477207e-18 5.77993530165659e-18 3.55683332479907e-24
103936 25.375 4.84149983020189e-18 4.74409106393178e-18 2.10955221702607e-24
104448 25.5 4.73364840075322e-18 5.03425548949721e-18 1.98038221246786e-24
104960 25.625 5.40660538297712e-18 5.22182923983264e-18 2.01971794799472e-24
105472 25.75 4.19721080048535e-18 4.25416692051267e-18 2.91969628687694e-24
105984 25.875 3.58080258230832e-18 3.94166477750571e-18 2.78980058613457e-24
106496 26 3.16027662814872e-18 3.83463637468302e-18 1.90974611010162e-24
107008 26.125 2.94874693711575e-18 3.86115093834256e-18 1.17367270458524e-24
107520 26.25 3.17470654153112e-18 3.47603415729699e-18 2.32638213292093e-24
108032 26.375 3.07062091327898e-18 2.71580583835921e-18 2.71504147409131e-24
108544 26.5 3.14681305161443e-18 3.40269395978528e-18 2.05471202633001e-24
109056 26.625 3.40332666210812e-18 3.60385007060043e-18 1.61239565442316e-24
109568 26.75 3.00359269355907e-18 2.83261570293926e-18 1.90256092618793e-24
110080 26.875 2.83636345435683e-18 3.25357809871224e-18 1.7489404194146e-24
110592 27 2.12640004912712e-18 3.19720163348908e-18 2.06641571312892e-24
111104 27.125 2.35387782473535e-18 3.00862386458499e-18 2.15858587463811e-24
111616 27.25 2.22466742297944e-18 3.26197092755457e-18 1.77846216600387e-24
112128 27.375 2.48168049392643e-18 3.03683876027478e-18 1.64636227163507e-24
112640 27.5 2.76041631663325e-18 2.69436293686783e-18 1.57836730138749e-24
113152 27.625 2.74650229473828e-18 2.34273556888718e-18 2.09046989977186e-24
113664 27.75 2.42008428950854e-18 3.12914857562309e-18 2.58527288039602e-24
114176 27.875 2.72704545427746e-18 4.60572152800838e-18 2.25246411286338e-24
114688 28 2.471105924691e-18 4.68146950843109e-18 2.45772483673467e-24
115200 28.125 2.62289272345024e-18 5.15970189228798e-18 2.71925005121081e-24
115712 28.25 2.23114602342225e-18 4.99736222934594e-18 2.19842108314403e-24
116224 28.375 2.26507356705209e-18 5.68548445832692e-18 2.20664164278598e-24
116736 28.5 1.9764902152963e-18 5.88404490702638e-18 2.98618511795201e-24
117248 28.625 2.2229585077469e-18 6.46994083648148e-18 2.37532440877496e-24
117760 28.75 2.3014365012505e-18 6.10860085810985e-18 2.18005660156498e-24
118272 28.875 2.42194453537806e-18 6.53975707089217e-18 2.02655343521689e-24
118784 29 2.7399844441009e-18 5.67871141268255e-18 2.26446133946213e-24
119296 29.125 2.15292469328005e-18 4.57102786292762e-18 2.11759072178074e-24
119808 29.25 2.5171210294306e-18 4.40569044486566e-18 1.98746287207248e-24
120320 29.375 2.43181681742599e-18 4.1901569632282e-18 2.54862588750886e-24
120832 29.5 2.50384821002566e-18 4.28425374086701e-18 2.96185377396502e-24
121344 29.625 2.61025957175732e-18 4.4515343571594e-18 2.00720227287392e-24
121856 29.75 2.28881172806167e-18 4.17219447593981e-18 2.09887758069094e-24
122368 29.875 2.21704737116264e-18 4.08948175192487e-18 1.66242164741021e-24
122880 30 2.10462808025159e-18 4.77971892063668e-18 1.58610714705245e-24
123392 30.125 2.79819298223783e-18 5.05140823108034e-18 1.75639645741772e-24
123904 30.25 2.63541814559359e-18 5.01217201808445e-18 1.52956204350685e-24
124416 30.375 2.68639240147117e-18 4.94719432715077e-18 1.72829152208876e-24
124928 30.5 2.47979373720584e-18 4.22661547512399e-18 2.11352186783913e-24
125440 30.625 2.58062004354593e-18 3.79308899781198e-18 1.82143118896242e-24
125952 30.75 2.70630325158611e-18 3.51701879145788e-18 2.09286517220386e-24
126464 30.875 2.56624944412056e-18 3.16389132921474e-18 2.45855855131272e-24
126976 31 2.46018649778227e-18 3.11884948422727e-18 1.68698510647915e-24
127488 31.125 3.04029697396393e-18 3.40545085208887e-18 1.79427639037271e-24
128000 31.25 2.43225270596711e-18 3.69631295952216e-18 1.78551211018228e-24
128512 31.375 2.87075805514054e-18 3.61856809502386e-18 2.16334031099347e-24
129024 31.5 3.1997282581342e-18 3.91918539483248e-18 1.773778895318e-24
129536 31.625 3.48114091662923e-18 4.28861809348882e-18 1.62330098290414e-24
130048 31.75 2.79475685666832e-18 3.41213548392247e-18 2.39880964065205e-24
130560 31.875 3.68765534515333e-18 3.84081234511351e-18 1.89060702326076e-24
131072 32 3.53304556218482e-18 4.44289445215716e-18 2.54986290487579e-24
131584 32.125 4.08561409918213e-18 5.26095093782388e-18 2.2288707121633e-24
132096 32.25 3.9995705156385e-18 5.66240664126705e-18 1.8683285490343e-24
132608 32.375 3.18753865251367e-18 5.40642988565194e-18 1.72948522079352e-24
133120 32.5 3.62351852584422e-18 5.68201899773948e-18 2.10272921707773e-24
133632 32.625 3.24151091525487e-18 5.98671652176799e-18 2.5557207908832e-24
134144 32.75 2.54846766889879e-18 4.09594505891706e-18 1.76218856346255e-24
134656 32.875 2.7139171795122e-18 3.55110446971163e-18 2.04688188590712e-24
135168 33 2.48314472428112e-18 3.66094999480335e-18 1.77781586433609e-24
135680 33.125 2.84702638569507e-18 3.54154394412166e-18 2.13281546034875e-24
136192 33.25 3.23596469232422e-18 4.17095044011045e-18 2.5762900364337e-24
136704 33.375 3.45550818084639e-18 5.16290510747557e-18 3.01352980871733e-24
137216 33.5 3.10839875288519e-18 4.78210147801782e-18 2.41975028095792e-24
137728 33.625 3.116015279947e-18 4.06210164802165e-18 1.92481969083526e-24
138240 33.75 2.40831497751928e-18 3.80260154554338e-18 2.0573477712202e-24
138752 33.875 3.49058465165279e-18 3.71380504788881e-18 1.50475327402433e-24
139264 34 3.35588195267401e-18 2.25417294235746e-18 1.58333563880956e-24
139776 34.125 3.20731519657437e-18 2.79998203355078e-18 2.22076655535213e-24
140288 34.25 2.67093701405412e-18 3.26253300696344e-18 2.14839871156967e-24
140800 34.375 3.28248196350196e-18 2.87640693109034e-18 1.9681051915206e-24
141312 34.5 2.88276471531662e-18 2.66328536958781e-18 2.23704887531663e-24
141824 34.625 2.69053069857042e-18 2.91620640699448e-18 2.34975045984191e-24
142336 34.75 3.24561690100931e-18 3.03920812041087e-18 2.05428053228317e-24
142848 34.875 3.13740474796783e-18 3.02034376199742e-18 1.8724826942647e-24
143360 35 3.13632106178716e-18 3.20875923507678e-18 1.76313307869988e-24
143872 35.125 2.66664742069797e-18 3.3748900438549e-18 2.13351711564289e-24
144384 35.25 2.60526892340122e-18 3.99550511589214e-18 2.19333326790656e-24
144896 35.375 2.81496645590016e-18 4.11063451888097e-18 2.1660303166807e-24
145408 35.5 3.35486663316494e-18 4.81260513526648e-18 3.20291983468492e-24
145920 35.625 3.68349139473771e-18 4.31765843631701e-18 4.03121644734805e-24
146432 35.75 3.84594953603056e-18 4.90496033654907e-18 5.61855573011632e-24
146944 35.875 2.9671487316588e-18 5.47131290570085e-18 4.23014108054238e-24
147456 36 3.23374928703193e-18 4.66671865931536e-18 2.96762123563419e-24
147968 36.125 3.91548550771071e-18 3.57566164849795e-18 3.35581862270367e-24
148480 36.25 3.33747946125043e-18 3.15055528398732e-18 2.79648765230481e-24
148992 36.375 3.29598594519449e-18 3.13893365039843e-18 3.52777674913173e-24
