# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
12800 3.125 -0.0341878992760591 -0.0341878992760592 -0.0341878992760589
13312 3.25 -0.0353881083389684 -0.0353881083389685 -0.0353881083389683
13824 3.375 -0.0359734483975015 -0.0359734483975014 -0.0359734483975014
14336 3.5 -0.0371437682061927 -0.0371437682061927 -0.0371437682061926
14848 3.625 -0.0382916942135331 -0.0382916942135332 -0.0382916942135332
15360 3.75 -0.039416539278231 -0.0394165392782312 -0.0394165392782314
15872 3.875 -0.0405177101272448 -0.0405177101272451 -0.0405177101272451
16384 4 -0.0415946826361295 -0.0415946826361294 -0.0415946826361297
16896 4.125 -0.0426840476659557 -0.0426840476659562 -0.0426840476659571
17408 4.25 -0.0437516726372157 -0.0437516726372166 -0.0437516726372175
17920 4.375 -0.044794163192883 -0.0447941631928843 -0.0447941631928849
18432 4.5 -0.0458110274877417 -0.045811027487743 -0.0458110274877434
18944 4.625 -0.0468105497966499 -0.0468105497966512 -0.0468105497966514
19456 4.75 -0.0478929894470641 -0.0478929894470653 -0.0478929894470664
19968 4.875 -0.0490173558094022 -0.0490173558094029 -0.0490173558094053
20480 5 -0.0501210547857752 -0.0501210547857754 -0.0501210547857809
20992 5.125 -0.0512036796701345 -0.0512036796701349 -0.0512036796701453
21504 5.25 -0.0522648447862131 -0.0522648447862125 -0.0522648447862293
22016 5.375 -0.0532702652902305 -0.0532702652902281 -0.053270265290252
22528 5.5 -0.0542491033228021 -0.0542491033227985 -0.0542491033228288
23040 5.625 -0.0552084589770536 -0.0552084589770403 -0.0552084589770766
23552 5.75 -0.0562475525713374 -0.0562475525713305 -0.0562475525713593
24064 5.875 -0.0572655404098713 -0.0572655404098711 -0.0572655404098902
24576 6 -0.0582622425656752 -0.0582622425656743 -0.0582622425656888
25088 6.125 -0.0592375268297209 -0.0592375268297172 -0.0592375268297351
25600 6.25 -0.060191281862369 -0.0601912818623676 -0.0601912818623866
26112 6.375 -0.0611234078969867 -0.061123407897001 -0.0611234078970106
26624 6.5 -0.0620402582665438 -0.0620402582665655 -0.0620402582665676
27136 6.625 -0.0629838205668444 -0.0629838205668562 -0.0629838205668808
27648 6.75 -0.0639149851334499 -0.0639149851334607 -0.0639149851334833
28160 6.875 -0.0648893032920138 -0.0648893032920346 -0.064889303292043
28672 7 -0.0658825802152703 -0.0658825802152899 -0.0658825802152889
29184 7.125 -0.066868817042884 -0.0668688170428999 -0.0668688170428977
29696 7.25 -0.0678540787664865 -0.0678540787665065 -0.0678540787664949
30208 7.375 -0.0688182000553666 -0.0688182000554028 -0.0688182000553568
30720 7.5 -0.0698187491848235 -0.0698187491848535 -0.0698187491848078
31232 7.625 -0.0708151740939436 -0.0708151740939915 -0.0708151740939195
31744 7.75 -0.0718212700284894 -0.0718212700285609 -0.0718212700284565
32256 7.875 -0.0728288195676577 -0.07282881956775 -0.072828819567613
32768 8 -0.0738266509817787 -0.0738266509818874 -0.0738266509817478
33280 8.125 -0.0748047090807758 -0.0748047090808913 -0.0748047090807832
