# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.125 0.669867012035528
1024 0.25 0.669884361743748
1536 0.375 0.669913211599821
2048 0.5 0.669953406634947
2560 0.625 0.670004713315388
3072 0.75 0.670066848207453
3584 0.875 0.670139500938392
4096 1 0.670222337495578
4608 1.125 0.670314985319449
5120 1.25 0.67041701341889
5632 1.375 0.670527924345498
6144 1.5 0.670647167632673
6656 1.625 0.670774163357996
7168 1.75 0.670908320933929
7680 1.875 0.671049041592599
8192 2 0.671195706139901
8704 2.125 0.671347660151343
9216 2.25 0.671504209843576
9728 2.375 0.671664633340017
10240 2.5 0.671828200294081
10752 2.625 0.67199418682415
11264 2.75 0.672161876151526
11776 2.875 0.672330550126587
12288 3 0.672499483407909
12800 3.125 0.672667947787785
13312 3.25 0.672835225297623
13824 3.375 0.673000622566193
14336 3.5 0.673163479605524
14848 3.625 0.67332316809878
15360 3.75 0.673479082880247
15872 3.875 0.673630636108694
16384 4 0.673777261268112
16896 4.125 0.673918425272099
17408 4.25 0.674053639814782
17920 4.375 0.674182464454909
18432 4.5 0.67430450159678
18944 4.625 0.674419389765707
19456 4.75 0.674526801713308
19968 4.875 0.674626449308382
20480 5 0.674718091699653
20992 5.125 0.674801540284331
21504 5.25 0.674876655903048
22016 5.375 0.674943339788518
22528 5.5 0.675001525276958
23040 5.625 0.675051176837697
23552 5.75 0.675092296660091
24064 5.875 0.675124932570914
24576 6 0.675149179946622
25088 6.125 0.675165175025295
25600 6.25 0.675173083649552
26112 6.375 0.675173092993771
26624 6.5 0.675165411434885
27136 6.625 0.67515027503465
27648 6.75 0.6751279535473
28160 6.875 0.675098749258019
28672 7 0.675062987902118
29184 7.125 0.675021007224297
29696 7.25 0.674973150335438
30208 7.375 0.674919767017507
30720 7.5 0.674861219719151
31232 7.625 0.674797886952931
31744 7.75 0.67473015845008
32256 7.875 0.67465842304647
32768 8 0.674583057176225
33280 8.125 0.674504423782737
33792 8.25 0.674422886543442
34304 8.375 0.674338834553432
34816 8.5 0.674252701606645
35328 8.625 0.674164956527821
35840 8.75 0.674076044292429
36352 8.875 0.673986280893761
36864 9 0.673895746717111
37376 9.125 0.673804258004386
37888 9.25 0.673711480402971
38400 9.375 0.673617161132583
38912 9.5 0.673521343338127
39424 9.625 0.673424392340732
39936 9.75 0.673326779121968
40448 9.875 0.673228766174156
40960 10 0.673130244340072
41472 10.125 0.673030852244284
41984 10.25 0.672930262656026
42496 10.375 0.67282838489312
43008 10.5 0.672725344512584
43520 10.625 0.672621326589143
44032 10.75 0.672516457736834
44544 10.875 0.672410791036592
45056 11 0.672304326957712
45568 11.125 0.672197014090108
46080 11.25 0.672088759359359
46592 11.375 0.671979479729577
47104 11.5 0.671869153108215
47616 11.625 0.671757817091425
48128 11.75 0.67164554051384
48640 11.875 0.671532414553429
49152 12 0.671418535089438
49664 12.125 0.671303929320301
50176 12.25 0.671188491815058
50688 12.375 0.671072052790133
51200 12.5 0.670954548925615
51712 12.625 0.670836095058873
52224 12.75 0.670716850504409
52736 12.875 0.670596838703763
53248 13 0.670475933459092
53760 13.125 0.670353994365172
54272 13.25 0.670230969001668
54784 13.375 0.670106891268405
55296 13.5 0.669981854691139
55808 13.625 0.669855989190564
56320 13.75 0.669729384963285
56832 13.875 0.669602000996855
57344 14 0.669473694524822
57856 14.125 0.669344368776981
58368 14.25 0.669214049716249
58880 14.375 0.669082802458882
59392 14.5 0.668950645212965
59904 14.625 0.668817596589349
60416 14.75 0.668683738015276
60928 14.875 0.66854913623917
61440 15 0.668413726475808
61952 15.125 0.66827735847465
62464 15.25 0.668139964972884
62976 15.375 0.668001624387106
63488 15.5 0.667862455929015
64000 15.625 0.667722513194233
64512 15.75 0.667581785822793
65024 15.875 0.667440240136675
65536 16 0.667297832821859
66048 16.125 0.667154531224775
66560 16.25 0.667010346107396
67072 16.375 0.666865316914874
67584 16.5 0.666719461171796
68096 16.625 0.666572777296273
68608 16.75 0.666425294111221
69120 16.875 0.666277057205722
69632 17 0.666128051041858
