# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
41472 10.125 0.000623629743373841 0.000623629743373526 0.00062362974338962
41984 10.25 0.000638846026829723 0.000638846026825557 0.000638846026810478
42496 10.375 0.000653986925269849 0.000653986925270167 0.000653986925225734
43008 10.5 0.000669049783816015 0.000669049783831269 0.000669049783770059
43520 10.625 0.000684026275165914 0.000684026275199859 0.000684026275140869
44032 10.75 0.000698915934362012 0.000698915934405531 0.000698915934367946
44544 10.875 0.000713737250828871 0.000713737250861701 0.000713737250855655
45056 11 0.000728512163894487 0.000728512163894865 0.000728512163915862
45568 11.125 0.000743243549568812 0.000743243549527683 0.000743243549560708
46080 11.25 0.000757923246497686 0.000757923246428318 0.000757923246456378
46592 11.375 0.000772555234084953 0.000772555234017444 0.000772555234027043
47104 11.5 0.000787152213718532 0.000787152213681921 0.000787152213664603
47616 11.625 0.000801717033695348 0.000801717033703902 0.000801717033657105
48128 11.75 0.000816246756240822 0.000816246756295103 0.000816246756226333
48640 11.875 0.000830748003903751 0.00083074800399788 0.000830748003930312
49152 12 0.000845233122220363 0.000845233122340413 0.000845233122305991
49664 12.125 0.000859711295361826 0.000859711295476279 0.000859711295488426
50176 12.25 0.000874196383766345 0.000874196383828473 0.000874196383860147
50688 12.375 0.00088871077129005 0.000888710771265446 0.000888710771270101
51200 12.5 0.000903268177165496 0.000903268177065594 0.000903268177030913
51712 12.625 0.000917863517709726 0.000917863517592458 0.000917863517562454
52224 12.75 0.000932490613244893 0.000932490613168881 0.000932490613197785
52736 12.875 0.00094716002400638 0.000947160023977766 0.000947160024067827
53248 13 0.000961888770616396 0.000961888770586556 0.000961888770688527
53760 13.125 0.000976678502783348 0.000976678502704782 0.000976678502778678
54272 13.25 0.000991514149266834 0.000991514149148047 0.000991514149202473
54784 13.375 0.00100638482537921 0.00100638482528142 0.00100638482534494
55296 13.5 0.0010212988756834 0.0010212988756678 0.00102129887573944
55808 13.625 0.00103627128304406 0.00103627128312261 0.00103627128316517
56320 13.75 0.00105129863821767 0.00105129863834278 0.00105129863831403
56832 13.875 0.00106635872537326 0.00106635872546495 0.0010663587253453
57344 14 0.00108143986328727 0.00108143986328037 0.00108143986308731
57856 14.125 0.00109655879355099 0.00109655879343462 0.00109655879322853
58368 14.25 0.00111174010381513 0.00111174010363127 0.00111174010349284
58880 14.375 0.00112698741684399 0.00112698741664155 0.00112698741661832
59392 14.5 0.00114228529539362 0.00114228529518519 0.00114228529526163
59904 14.625 0.00115762107148992 0.00115762107126169 0.0011576210713892
60416 14.75 0.00117299218639567 0.00117299218615134 0.00117299218628922
60928 14.875 0.00118839624899835 0.00118839624876942 0.00118839624888358
61440 15 0.0012038263871843 0.00120382638699572 0.00120382638704926
61952 15.125 0.0012192793425679 0.00121927934242398 0.00121927934240382
62464 15.25 0.00123476310049952 0.00123476310041181 0.00123476310034073
62976 15.375 0.00125029209683347 0.00125029209682198 0.00125029209670315
63488 15.5 0.00126587182024478 0.00126587182028499 0.0012658718200652
64000 15.625 0.00128148870685759 0.0012814887068669 0.00128148870653045
64512 15.75 0.00129712122061583 0.00129712122054069 0.00129712122023642
65024 15.875 0.00131276203973401 0.00131276203962927 0.00131276203960261
65536 16 0.00132842056966824 0.00132842056964189 0.00132842056997729
66048 16.125 0.0013441025906802 0.00134410259076988 0.00134410259125892
66560 16.25 0.00135980394190274 0.00135980394205045 0.00135980394239526
67072 16.375 0.00137553365607827 0.00137553365621275 0.00137553365633724
67584 16.5 0.00139132715386194 0.00139132715394553 0.00139132715402305
68096 16.625 0.00140722157276626 0.00140722157275574 0.00140722157292674
68608 16.75 0.00142323025352382 0.00142323025335484 0.0014232302535124
69120 16.875 0.00143935663778896 0.00143935663744083 0.00143935663736432
69632 17 0.00145562072181022 0.00145562072134681 0.00145562072100185
70144 17.125 0.00147205200318066 0.00147205200268593 0.00147205200229061
70656 17.25 0.00148866164139884 0.00148866164089589 0.00148866164065441
71168 17.375 0.00150543575911282 0.00150543575857972 0.00150543575841717
71680 17.5 0.00152234762718129 0.00152234762661502 0.00152234762625832
72192 17.625 0.00153935769071778 0.00153935769013322 0.00153935768945194
72704 17.75 0.00155640344855177 0.00155640344794089 0.00155640344713485
73216 17.875 0.00157340547074584 0.00157340547011189 0.00157340546953591
73728 18 0.00159028849056981 0.00159028849001605 0.00159028848988803
74240 18.125 0.00160699345175202 0.00160699345146152 0.00160699345179052
74752 18.25 0.00162347647544666 0.00162347647550873 0.00162347647621281
75264 18.375 0.00163971233766156 0.0016397123379427 0.00163971233887966
75776 18.5 0.00165570824407313 0.00165570824431875 0.00165570824519708
76288 18.625 0.00167151392245927 0.00167151392252007 0.00167151392296144
76800 18.75 0.00168721529044667 0.0016872152903684 0.00168721529021015
77312 18.875 0.00170291342610497 0.00170291342603119 0.00170291342554052
77824 19 0.00171870074981879 0.00171870074989516 0.0017187007495894
78336 19.125 0.00173464512518482 0.00173464512555128 0.00173464512578882
78848 19.25 0.00175078108257672 0.00175078108331839 0.00175078108407718
79360 19.375 0.00176710000371596 0.0017671000047329 0.00176710000572079
79872 19.5 0.00178354277573968 0.0017835427767239 0.00178354277760876
80384 19.625 0.001800012721583 0.00180001272219777 0.00180001272274083
80896 19.75 0.00181641347932126 0.00181641347938544 0.00181641347948107
81408 19.875 0.00183268828520273 0.00183268828470065 0.00183268828442187
81920 20 0.00184883644511186 0.00184883644413536 0.00184883644378149
82432 20.125 0.0018649091396039 0.00186490913836924 0.00186490913838889
82944 20.25 0.00188099636119932 0.00188099636003498 0.00188099636074348
83456 20.375 0.00189720263830256 0.00189720263747233 0.00189720263872052
83968 20.5 0.00191388589426136 0.00191388589360847 0.00191388589381192
84480 20.625 0.00193095727234872 0.001930957271207 0.00193095727047021
